------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1656041365.8021779	9.99100	5.460700000	-9.11	5.391759383	0.010921500	-2.39	0.010911968	 86.000	 0.939
1656041371.1073971	9.98800	10.921450000	-9.11	10.783749236	0.021843100	-2.36	0.021824510	 86.000	 -0.889
1656041376.4152269	9.98000	27.303850000	-9.11	26.959595253	0.054609500	-2.36	0.054563024	 86.000	 -0.622
1656041382.2077639	9.97000	54.607500000	-9.11	53.918993027	0.109219000	-2.36	0.109126049	 86.000	 -0.899
1656041388.0083029	9.95700	109.215500000	-9.10	107.842098253	0.218438000	-2.36	0.218252097	 86.000	 0.639
1656041393.8138089	9.94300	273.047500000	-9.09	269.618404438	0.229035000	-2.37	0.228839088	 86.000	 -0.948
1656041397.0831060	9.93300	546.095000000	-9.10	539.227771200	0.229005000	-2.36	0.228810104	 86.000	 -0.242
1656041400.7988319	9.92400	1092.190000000	-9.09	1078.473617753	0.229005000	-2.36	0.228811092	 86.000	 0.551
1656041404.0790861	9.91400	1149.295000000	-9.10	1134.842438223	0.228974000	-2.36	0.228779130	 86.000	 -0.643
1656041405.2712450	9.91000	1149.295000000	-9.09	1134.861458643	0.228974000	-2.36	0.228779130	 86.000	 -0.213
1656041406.6063430	9.90500	1149.295000000	-9.10	1134.842438223	0.228974000	-2.36	0.228779130	 86.000	 -0.929
1656041407.8520200	9.90100	1149.295000000	-9.10	1134.842438223	0.228944000	-2.36	0.228749156	 86.000	 1.189
1656041409.0607941	9.89700	1149.145000000	-9.10	1134.694324497	0.228944000	-2.36	0.228749156	 86.000	 0.078
1656041410.7656021	9.89300	1149.145000000	-9.09	1134.713342434	0.228913000	-2.36	0.228718182	 86.000	 -0.581
1656041411.9620559	9.88500	1149.145000000	-9.09	1134.713342434	0.228913000	-2.36	0.228718182	 86.000	 0.766
1656041414.1625421	9.88200	1148.990000000	-9.09	1134.560289018	0.228913000	-2.36	0.228718182	 86.000	 -0.034
1656041415.5474930	9.87600	1148.990000000	-9.09	1134.560289018	0.228913000	-2.36	0.228718182	 86.000	 -0.747
1656041416.7715881	9.87200	1148.990000000	-9.09	1134.560289018	0.228883000	-2.36	0.228688208	 86.000	 0.876
1656041417.9610510	9.86500	1148.840000000	-9.10	1134.393159919	0.228883000	-2.36	0.228688208	 86.000	 1.417
1656041420.1601870	9.86100	1148.840000000	-9.10	1134.393159919	0.228852000	-2.36	0.228657234	 86.000	 0.269
1656041421.4996181	9.85400	1148.840000000	-9.10	1134.393159919	0.228883000	-2.36	0.228688208	 86.000	 -1.038
1656041423.1894541	9.84900	1148.840000000	-9.10	1134.393159919	0.228852000	-2.36	0.228657234	 86.000	 1.126
1656041424.5105860	9.84300	1148.685000000	-9.09	1134.259119392	0.228852000	-2.36	0.228658221	 86.000	 -0.611
1656041426.2549319	9.83800	1148.685000000	-9.10	1134.240109067	0.228822000	-2.36	0.228627260	 86.000	 0.936
