------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1656036498.2429070	9.99100	5.460700000	-9.25	5.389660416	0.021843100	-2.50	0.021822277	 54.000	 -1.050
1656036503.5454011	9.99000	10.921450000	-9.25	10.779370181	0.054609500	-2.50	0.054557441	 54.000	 -0.542
1656036508.8562379	9.98300	27.303850000	-9.25	26.948647525	0.109219000	-2.50	0.109114881	 54.000	 -0.873
1656036514.1481309	9.96900	54.607500000	-9.25	53.897097653	0.218438000	-2.51	0.218228763	 54.000	 1.299
1656036520.4672780	9.95700	109.215500000	-9.23	107.802034584	0.252748000	-2.51	0.252505898	 54.000	 1.292
1656036524.2172849	9.94900	273.047500000	-9.23	269.513723218	0.252718000	-2.51	0.252475927	 54.000	 0.768
1656036527.4347019	9.94000	546.095000000	-9.23	539.027446436	0.252718000	-2.51	0.252475927	 54.000	 0.389
1656036530.7083211	9.93100	1092.190000000	-9.23	1078.054892872	0.252687000	-2.50	0.252446113	 54.000	 -0.941
1656036533.9257560	9.92200	1268.320000000	-9.23	1251.905420969	0.252687000	-2.50	0.252447267	 54.000	 1.430
1656036535.1142261	9.91500	1268.320000000	-9.23	1251.905420969	0.252657000	-2.50	0.252416142	 54.000	 0.567
1656036537.3083749	9.91100	1268.165000000	-9.23	1251.731123521	0.252687000	-2.51	0.252444957	 54.000	 1.252
1656036538.5011971	9.90400	1268.165000000	-9.23	1251.752426977	0.252657000	-2.51	0.252414985	 54.000	 0.537
1656036540.1936820	9.90100	1268.165000000	-9.23	1251.752426977	0.252657000	-2.50	0.252416142	 54.000	 1.578
1656036541.4054470	9.89700	1268.165000000	-9.23	1251.752426977	0.252626000	-2.50	0.252386325	 54.000	 1.111
1656036543.0952890	9.89300	1268.015000000	-9.23	1251.604368274	0.252626000	-2.50	0.252385171	 54.000	 -0.857
1656036544.2987349	9.88500	1268.015000000	-9.23	1251.604368274	0.252596000	-2.50	0.252355200	 54.000	 1.570
1656036546.5001881	9.88100	1268.015000000	-9.23	1251.604368274	0.252596000	-2.50	0.252355200	 54.000	 0.380
1656036547.6990221	9.87600	1267.860000000	-9.23	1251.451374282	0.252596000	-2.50	0.252355200	 54.000	 1.454
1656036549.4011290	9.87100	1267.860000000	-9.23	1251.451374282	0.252565000	-2.50	0.252324229	 54.000	 0.045
1656036550.5979390	9.86600	1267.860000000	-9.23	1251.451374282	0.252596000	-2.51	0.252354044	 54.000	 0.119
1656036552.2994020	9.86200	1267.860000000	-9.23	1251.451374282	0.252565000	-2.50	0.252324229	 54.000	 -0.870
1656036553.5002141	9.85600	1267.860000000	-9.23	1251.451374282	0.252535000	-2.50	0.252294258	 54.000	 0.804
1656036555.1980391	9.85100	1267.860000000	-9.23	1251.451374282	0.252535000	-2.50	0.252294258	 54.000	 1.192
1656036556.4034581	9.84500	1267.710000000	-9.23	1251.303315580	0.252535000	-2.50	0.252294258	 54.000	 -0.470
