-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin1 (V/A) 	 pLkin1 (deg.) 	 XLkin1 (Ohm) 	 RLkin2 (V/A) 	 pLkin2 (deg.) 	 XLkin2 (Ohm)
1700557768.510832	5.0	1.429541e-10	10785.2	6.852	10708.168209682524	481.27500000000003	5.478	479.07698199739764
1700557769.746541	5.2	1.470332e-10	10771.8	6.858	10694.729280100259	480.7975	5.478	478.60166277470006
1700557770.9443471	5.4	1.525542e-10	10768.9	6.864	10691.715310974201	480.32	5.46	478.14072511701875
1700557772.171077	5.6000000000000005	1.535431e-10	10768.0	6.864	10690.821761607054	479.93999999999994	5.454	477.76722881086005
1700557773.36988	5.800000000000001	1.550264e-10	10754.6	6.87	10677.383147943041	479.51	5.448	477.3439455621624
1700557774.5666938	6.0	1.625251e-10	10750.8	6.87	10673.610431527535	479.03249999999997	5.448	476.86860253697847
1700557775.7605097	6.2	1.675516e-10	10750.8	6.87	10673.610431527535	478.605	5.454	476.43827258620183
1700557776.958673	6.4	1.646263e-10	10737.5	6.876	10660.271364855058	478.27	5.46	476.1000262360854
1700557778.2179625	6.6000000000000005	1.67758e-10	10732.699999999999	6.876	10655.50588848241	477.9375	5.466	475.7642699731896
1700557779.411158	6.800000000000001	1.724137e-10	10732.699999999999	6.87	10655.640387548421	477.65000000000003	5.466	475.4780772646926
1700557780.6488507	7.0	1.72908e-10	10725.1	6.876	10647.960550892385	477.22249999999997	5.472	475.04775821003165
1700557781.8592637	7.2	1.759982e-10	10718.4	6.882	10641.174303564641	476.8875	5.472	474.71428483230875
1700557783.0560658	7.4	1.843623e-10	10714.6	6.882	10637.401682431493	476.555	5.478	474.3785385814136
1700557784.259859	7.6000000000000005	1.88606e-10	10714.6	6.882	10637.401682431493	476.315	5.478	474.1396346789059
1700557785.454046	7.800000000000001	1.891003e-10	10706.0	6.888	10628.729247542218	475.935	5.484	473.7566096854641
1700557786.663458	8.0	1.902133e-10	10699.3	6.894	10621.943174952074	475.59999999999997	5.49	473.4183806836691
1700557787.8586226	8.200000000000001	1.933032e-10	10696.5	6.894	10619.163419183951	475.3625	5.49	473.18197011720076
1700557789.0680466	8.4	1.974644e-10	10696.5	6.894	10619.163419183951	474.98	5.478	472.81073172120705
1700557790.2618632	8.6	2.025737e-10	10687.9	6.9	10610.49119480772	474.695	5.466	472.5365139477928
1700557791.459033	8.8	2.0863e-10	10683.099999999999	6.9	10605.725959566458	474.45500000000004	5.472	472.29286993287326
1700557792.6544943	9.0	2.089189e-10	10679.3	6.906	10601.819070462478	474.16999999999996	5.466	472.0139011757547
1700557793.8532963	9.200000000000001	2.162118e-10	10679.3	6.906	10601.819070462478	473.9325	5.466	471.77748111221376
1700557795.0660648	9.4	2.174067e-10	10679.3	6.906	10601.819070462478	473.645	5.46	471.49601046812614
1700557796.2648697	9.600000000000001	2.215268e-10	10666.9	6.912	10589.374664227307	473.36	5.466	471.20758432746754
1700557797.4600427	9.8	2.250702e-10	10662.1	6.918	10584.475122994369	473.1675	5.466	471.01595964438695
1700557798.6588407	10.0	2.294374e-10	10661.199999999999	6.918	10583.581675398613	472.8825	5.472	470.72753594341276
1700557799.870611	10.200000000000001	2.329812e-10	10660.2	6.918	10582.588955847777	472.6925	5.472	470.5384017888834
1700557801.0720594	10.4	2.401091e-10	10659.3	6.918	10581.69550825202	472.405	5.472	470.2522119497928
1700557802.2738564	10.600000000000001	2.4357e-10	10647.800000000001	6.876	10571.216525141206	472.26250000000005	5.478	470.10564274177136
1700557803.4779992	10.8	2.423745e-10	10644.0	6.858	10567.843671195822	471.97749999999996	5.478	469.82194435754343
1700557804.7243247	11.0	2.53005e-10	10642.1	6.846	10566.223181742605	471.785	5.484	469.625604547799
1700557805.9344435	11.200000000000001	2.543238e-10	10641.2	6.846	10565.329598628035	471.5475	5.484	469.3891916031736
1700557807.1398842	11.4	2.550238e-10	10641.2	6.846	10565.329598628035	471.3575	5.484	469.20006124747323
1700557808.3390396	11.600000000000001	2.656133e-10	10629.7	6.852	10553.778846795825	471.07	5.49	468.90916019481926
1700557809.5318732	11.8	2.718759e-10	10626.9	6.858	10550.866019300158	470.92749999999995	5.49	468.76731385493815
1700557810.7276692	12.0	2.7612e-10	10625.900000000001	6.858	10549.873174160062	470.69	5.496	468.5261849937131
1700557811.9621122	12.200000000000001	2.764493e-10	10624.0	6.858	10547.986768393876	470.545	5.496	468.3818515750637
1700557813.1817842	12.4	2.825888e-10	10624.0	6.858	10547.986768393876	470.4025	5.496	468.24000666363236
1700557814.3805912	12.600000000000001	2.85143e-10	10617.3	6.864	10541.201884241324	470.1175	5.502	467.9515991531573
1700557815.5797389	12.8	2.886454e-10	10610.6	6.864	10534.549905619226	469.9725	5.502	467.80726718960096
1700557816.7825322	13.0	2.909526e-10	10607.800000000001	6.87	10531.63715589145	469.735	5.508	467.5661424105585
1700557817.9777036	13.200000000000001	3.036424e-10	10607.800000000001	6.87	10531.63715589145	469.59250000000003	5.508	467.42430036069317
1700557819.1871243	13.4	3.085463e-10	10605.9	6.87	10529.750797683697	469.40250000000003	5.508	467.2351776275394
