----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
----------------------------------------------------------------------------------------------------------------------

1656768064.5153711	1.69500	0.000000	37.994550000	-7.67	37.654798066	7.877380000	171.98	-7.800296348	1.408206000
1656768069.7916529	1.69200	0.000000	37.117150000	-7.64	36.787832039	7.505460000	172.27	-7.437292435	0.712335400
1656768073.0269511	1.69400	0.000000	39.997400000	-7.69	39.638059724	7.941760000	172.24	-7.869069539	-0.895995600
1656768076.2550581	1.68600	0.000000	34.351500000	-7.68	34.043363931	7.596060000	172.53	-7.531592762	1.297830000
1656768077.4961050	1.68900	0.000000	37.326950000	-7.66	36.994210158	7.615120000	172.52	-7.550387285	1.257082000
1656768079.4974101	1.69300	0.000000	40.731750000	-7.66	40.368090613	7.782020000	172.46	-7.714697078	-0.202237000
1656768080.7051921	1.69100	0.000000	40.645900000	-7.69	40.280164048	8.385220000	172.32	-8.310003816	-0.216039600
1656768082.5283289	1.69100	0.000000	42.124100000	-7.68	41.746243004	8.549720000	172.21	-8.470859460	-0.736956100
1656768083.7909610	1.69100	0.000000	40.006950000	-7.69	39.646963385	8.168260000	172.59	-8.100044151	-0.770536900
1656768085.6350429	1.69100	0.000000	40.865250000	-7.66	40.500398704	8.642720000	172.31	-8.565073018	-0.937898400
1656768086.8920369	1.69000	0.000000	43.964700000	-7.68	43.570332655	8.912120000	172.15	-8.828647266	0.286283800
1656768088.6361339	1.69200	0.000000	43.182650000	-7.70	42.793482608	8.633180000	172.17	-8.552689791	0.066316460
1656768089.8401690	1.69000	0.000000	39.739900000	-7.66	39.385096004	8.387600000	172.41	-8.314112951	0.599034300
1656768091.6061189	1.68400	0.000000	39.940200000	-7.69	39.581373614	8.409060000	172.34	-8.333982607	0.586797400
1656768092.8158910	1.69200	0.000000	39.673150000	-7.67	39.318387819	7.851160000	172.54	-7.784634591	1.260914000
1656768094.5343089	1.69100	0.000000	40.235800000	-7.71	39.872060306	8.773840000	172.46	-8.698057305	1.549895000
1656768095.7440829	1.69300	0.004314	39.539650000	-7.70	39.182758923	8.740460000	172.60	-8.667583516	0.743893300
1656768097.6101069	1.69100	0.010066	17.852850000	-7.61	17.695444891	5.207100000	171.94	-5.155612159	-0.031042570
1656768100.8594401	1.70300	0.021570	22.611750000	-7.64	22.411129656	2.541560000	172.78	-2.521385389	-0.761842300
1656768104.1420410	1.70700	0.031636	73.848000000	-7.73	73.176242867	11.663520000	172.28	-11.557751464	1.344550000
1656768106.3601241	1.70600	0.040264	109.215500000	-7.79	108.206572359	15.547360000	172.41	-15.411143488	1.170851000
1656768109.6463649	1.69600	0.050330	163.346500000	-7.85	161.816563358	15.252900000	172.34	-15.116932622	-0.110974500
1656768110.8557761	1.70300	0.054644	193.339500000	-7.89	191.509239395	15.463900000	172.22	-15.321703284	-1.206000000
1656768112.6150870	1.69800	0.060396	216.571000000	-7.92	214.505221425	15.589080000	172.04	-15.439029711	-1.311271000
1656768113.8278530	1.69900	0.064710	239.316000000	-7.96	237.012500697	15.175420000	171.97	-15.026477918	-0.449201700
1656768117.5752120	1.70000	0.077652	299.932000000	-8.03	296.992647711	14.687860000	171.59	-14.530068757	-1.151530000
1656768118.8208721	1.69700	0.080528	314.390500000	-8.06	311.286421269	13.901060000	171.50	-13.748512270	-1.016965000
1656768120.0386300	1.68900	0.084842	324.709500000	-8.08	321.489223222	13.204880000	171.69	-13.066236407	-0.741900500
1656768121.2600300	1.69900	0.089156	353.739500000	-8.11	350.200027034	12.496780000	171.47	-12.358674182	-0.551877500
1656768122.4668119	1.69900	0.093470	363.505000000	-8.11	359.867814669	12.334660000	171.65	-12.203843136	-0.300709500
1656768124.4229541	1.70000	0.099222	401.156000000	-8.17	397.082587506	11.640860000	171.62	-11.516514400	-0.894800700
1656768125.6323690	1.69600	0.103536	408.652000000	-8.17	404.508552466	11.010240000	171.34	-10.884772823	1.100933000
1656768127.5532460	1.70100	0.110726	441.820500000	-8.21	437.288018365	10.178160000	171.17	-10.057475358	-0.270178900
1656768128.7683599	1.70000	0.115040	452.902500000	-8.23	448.242770076	9.628580000	171.20	-9.515184605	0.773063200
1656768132.5549040	1.69600	0.126544	493.929500000	-8.27	488.788283632	7.914340000	170.77	-7.811779776	1.452783000
1656768133.7730179	1.69700	0.130858	507.395000000	-8.29	502.098320036	7.350480000	170.35	-7.246514658	0.767130600
1656768135.0273120	1.70200	0.135172	530.435000000	-8.32	524.857708640	6.748480000	170.63	-6.658400344	1.354479000
1656768136.2311010	1.70100	0.139486	536.385000000	-8.33	530.720748737	6.140500000	170.02	-6.047620986	1.165288000
1656768137.4348910	1.69700	0.143800	545.540000000	-8.33	539.779071499	5.593340000	169.85	-5.505768525	-0.996693300
1656768139.2480600	1.69700	0.149552	565.380000000	-8.36	559.366575553	4.837540000	169.16	-4.751188117	-0.367415300
1656768140.4588261	1.70000	0.153866	576.670000000	-8.38	570.518913281	4.431020000	169.54	-4.357328661	1.578856000
1656768142.4325621	1.69300	0.159618	592.270000000	-8.40	585.916324644	3.349800000	168.76	-3.285502950	-1.110246000
1656768143.6397021	1.69900	0.163932	611.955000000	-8.42	605.362035987	2.925420000	166.78	-2.847917188	1.234093000
1656768145.5322950	1.69900	0.169684	629.660000000	-8.43	622.856969792	2.033720000	165.50	-1.968923443	-1.124421000
