----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	notsure
1656460465.8122070	2.77000	0.033074	2502.460000000	-10.48	2460.699222841	40.817600000	5.10	40.656005792	0.017863960
1656460467.5435939	2.79100	0.038826	2513.445000000	-10.49	2471.405083320	40.855800000	5.11	40.693293015	0.504728300
1656460468.8022411	2.77600	0.043140	2503.375000000	-10.48	2461.598953422	40.998800000	5.12	40.834958221	0.389244600
1656460470.5960960	2.78400	0.048892	2500.935000000	-10.48	2459.199671873	40.970200000	5.06	40.810660432	-0.048141800
1656460471.8088610	2.77900	0.053206	2514.360000000	-10.49	2472.304779017	41.122800000	5.05	40.963045644	-0.871318900
1656460473.1047461	2.78900	0.057520	2514.360000000	-10.50	2472.256809383	41.160800000	4.99	41.004671225	0.711801300
1656460474.3225200	2.78800	0.061834	2503.985000000	-10.48	2462.198773809	41.132200000	5.02	40.974300035	-0.541537300
1656460476.0938051	2.77400	0.067586	2512.835000000	-10.49	2470.805286189	41.342000000	4.94	41.188556125	-1.441433000
1656460477.3125539	2.77600	0.071900	2509.480000000	-10.49	2467.506401966	41.323000000	4.88	41.173328941	0.120206500
1656460479.6170521	2.77700	0.079090	2513.140000000	-10.49	2471.105184754	41.504200000	4.96	41.349029706	1.023645000
1656460480.8301809	2.78000	0.083404	2515.890000000	-10.50	2473.761189391	41.580400000	4.90	41.428683806	-1.411643000
1656460482.6044450	2.78600	0.089156	2517.415000000	-10.50	2475.260653125	41.675800000	4.94	41.520741307	0.948291000
1656460483.8198531	2.76700	0.093470	2505.815000000	-10.49	2463.950482399	41.733000000	4.88	41.581472078	-0.243810500
1656460485.0978010	2.77800	0.097784	2519.855000000	-10.50	2477.659795100	41.828400000	4.81	41.680967938	-1.320053000
1656460486.3132069	2.78200	0.102098	2516.500000000	-10.50	2474.360974885	41.933400000	4.79	41.786700886	1.184121000
1656460488.5482509	2.78500	0.109288	2526.570000000	-10.51	2484.165864915	42.066800000	4.87	41.914809278	-0.270921800
1656460489.7510440	2.78000	0.113602	2528.400000000	-10.51	2485.965151510	42.124000000	4.78	41.977738004	0.997567500
1656460491.6064520	2.77100	0.119354	2523.520000000	-10.51	2481.215252734	42.181400000	4.76	42.036039967	0.959456200
1656460492.8228660	2.76800	0.123668	2521.075000000	-10.51	2478.811241158	42.314800000	4.61	42.178024639	-1.588731000
1656460494.0984631	2.77700	0.127982	2529.620000000	-10.51	2487.164675907	42.419800000	4.60	42.283398071	0.807509600
1656460495.3115759	2.79400	0.132296	2530.535000000	-10.51	2488.064319204	42.534200000	4.62	42.395998857	0.070766170
1656460497.6473520	2.78200	0.139486	2539.690000000	-10.52	2496.968570803	42.715400000	4.67	42.573712782	0.343512300
1656460498.8541441	2.77800	0.143800	2532.370000000	-10.51	2489.868521883	42.810800000	4.59	42.673499798	-1.088579000
1656460500.1204140	2.77200	0.148114	2529.925000000	-10.51	2487.464557006	42.829800000	4.46	42.699872986	-0.981823700
1656460501.3331749	2.78900	0.152428	2551.290000000	-10.54	2508.275790267	42.896600000	4.53	42.762595997	0.382446400
1656460503.1437039	2.77700	0.158180	2535.115000000	-10.52	2492.519004168	43.030000000	4.58	42.892717052	-0.348546600
1656460504.3534789	2.77900	0.162494	2544.575000000	-10.53	2501.722714446	43.049200000	4.52	42.915430461	-0.765141500
1656460506.6174591	2.77900	0.169684	2552.815000000	-10.54	2509.775079090	43.373400000	4.43	43.243585612	-1.181736000
1656460507.8282220	2.77900	0.173998	2546.405000000	-10.53	2503.521896065	43.402000000	4.48	43.269273784	0.725809400
1656460509.6240799	2.77600	0.179750	2553.425000000	-10.54	2510.374794619	43.440200000	4.48	43.307356966	0.723625500
1656460510.8298669	2.78000	0.184064	2565.630000000	-10.55	2522.275710410	43.640400000	4.55	43.502987472	-0.949150300
1656460512.1104550	2.77600	0.188378	2553.730000000	-10.54	2510.625738898	43.650000000	4.52	43.514003248	1.078856000
1656460513.3245859	2.78100	0.192692	2547.625000000	-10.54	2504.672581392	43.716800000	4.34	43.591559519	-0.339647100
1656460515.7158461	2.78500	0.199882	2564.715000000	-10.55	2521.326992987	43.936000000	4.30	43.812555903	-0.734981700
1656460516.9259839	2.78300	0.204196	2566.855000000	-10.55	2523.430790004	44.002800000	4.31	43.878476900	-1.310287000
1656460518.4838259	2.77700	0.208510	2572.650000000	-10.56	2529.078395273	44.098200000	4.36	43.970465812	-1.050508000
1656460519.7215149	2.78200	0.212824	2574.785000000	-10.56	2531.177235914	44.184000000	4.35	44.056720148	-1.147085000
1656460521.5346971	2.78400	0.220014	2573.565000000	-10.56	2529.977898405	44.203200000	4.40	44.072685358	0.533857500
1656460522.7461090	2.78300	0.222890	2574.480000000	-10.56	2530.877401536	44.374800000	4.35	44.246970514	-0.188723400
1656460524.6204760	2.78400	0.230080	2584.860000000	-10.57	2540.982330713	44.575000000	4.33	44.447653771	-0.564817000
1656460525.8318851	2.76700	0.234394	2574.175000000	-10.56	2530.577567159	44.632200000	4.15	44.515062038	0.991181100
1656460527.1154649	2.77500	0.238708	2584.555000000	-10.57	2540.682508049	44.680000000	4.20	44.560010842	0.346519500
1656460528.3305809	2.77100	0.241584	2594.320000000	-10.58	2550.182002960	44.756200000	4.31	44.629395973	-0.981287800
1656460530.6294620	2.77900	0.250212	2596.455000000	-10.58	2552.280679521	44.956600000	4.24	44.833790413	0.451621500
1656460531.8452210	2.77600	0.254526	2599.200000000	-10.59	2554.928969387	45.061400000	4.21	44.940040740	-0.344838700
1656460533.1164670	2.78000	0.258840	2597.675000000	-10.59	2553.429944042	45.090000000	4.27	44.965075956	0.624662700
1656460534.3262470	2.77700	0.261716	2597.980000000	-10.58	2553.779734207	45.175800000	4.21	45.053785422	-0.266266000
1656460536.7241991	2.78300	0.270344	2606.525000000	-10.60	2562.028822588	45.299800000	4.22	45.177101847	-0.453611800
1656460537.9449699	2.77400	0.274658	2608.050000000	-10.60	2563.578024272	45.414200000	4.10	45.297748410	-1.223145000
1656460539.4918339	2.78900	0.278972	2616.290000000	-10.61	2571.576701579	45.528800000	4.13	45.410685708	-0.622829000
1656460540.7261879	2.77800	0.283286	2611.410000000	-10.60	2566.830430399	45.643200000	4.15	45.523408652	-1.337728000
1656460542.5353680	2.78500	0.289038	2615.375000000	-10.61	2570.677339245	45.757600000	4.16	45.637161223	-0.728636100
1656460543.7421520	2.78500	0.293352	2620.565000000	-10.61	2575.728107733	45.862400000	4.11	45.744455165	-0.157945700
1656460545.6271279	2.77900	0.299104	2624.225000000	-10.61	2579.325486495	45.977000000	4.13	45.857376116	-1.125000000
1656460546.8472381	2.78200	0.303418	2628.500000000	-10.62	2583.476628871	46.015000000	4.09	45.898040144	-1.116183000
1656460548.1697061	2.77900	0.307732	2622.700000000	-10.61	2577.826578678	46.081800000	4.06	45.966383289	0.107475600
1656460549.4303479	2.78300	0.312046	2628.500000000	-10.62	2583.476628871	46.177200000	4.07	46.060515976	-1.526764000
1656460551.3981020	2.76800	0.319236	2633.075000000	-10.63	2587.922433439	46.329800000	4.06	46.213762147	-1.365086000
1656460552.6304619	2.77600	0.323550	2637.350000000	-10.63	2592.073183203	46.358400000	3.92	46.249722055	0.766226700
1656460554.5566850	2.78700	0.329302	2638.875000000	-10.63	2593.572002702	46.444200000	4.04	46.328905368	-1.099661000
1656460555.7690959	2.78000	0.333616	2640.400000000	-10.64	2595.019793263	46.615800000	3.97	46.504167696	0.502833300
1656460557.6321361	2.78100	0.339368	2643.450000000	-10.64	2598.017373315	46.663600000	4.02	46.548790740	-0.108585300
1656460558.8389189	2.77100	0.343682	2646.505000000	-10.64	2601.019867433	46.739800000	4.04	46.623771560	-0.053580440
1656460560.0995560	2.77300	0.347996	2651.995000000	-10.64	2606.364229919	46.854400000	4.02	46.739121303	-0.082545620
1656460561.3372591	2.77300	0.352310	2655.355000000	-10.65	2609.615041871	46.921000000	4.00	46.806931190	0.944171000
1656460563.6492341	2.78200	0.359500	2656.880000000	-10.65	2611.113772903	47.064200000	4.00	46.949783059	-0.523449100
1656460564.8608680	2.78900	0.363814	2663.290000000	-10.66	2617.310213554	47.121400000	3.99	47.007187616	-1.567388000
1656460566.1278450	2.77700	0.368128	2664.815000000	-10.66	2618.808885526	47.216800000	4.01	47.101321905	1.183544000
1656460567.3432510	2.77000	0.372442	2664.510000000	-10.66	2618.560760891	47.331200000	3.97	47.217511432	-1.105429000
1656460569.6361389	2.78000	0.379632	2666.950000000	-10.66	2620.907026287	47.436000000	3.88	47.327162710	1.131633000
1656460570.8489070	2.77900	0.383946	2670.000000000	-10.66	2623.904370230	47.541000000	3.95	47.427839719	1.378627000
1656460572.0730021	2.78200	0.388260	2677.020000000	-10.67	2630.699384291	47.569600000	3.96	47.456027883	-0.895010300
1656460573.2857709	2.77500	0.392574	2677.935000000	-10.67	2631.598551999	47.674400000	4.06	47.554641071	-1.042515000
1656460575.6341550	2.78000	0.399764	2681.295000000	-10.68	2634.848392185	47.741200000	3.88	47.632000669	-1.367970000
1656460576.8469231	2.77200	0.404078	2680.685000000	-10.67	2634.300968606	47.855600000	4.00	47.738909608	0.207139100
1656460578.1295061	2.77600	0.408392	2684.345000000	-10.68	2637.845558702	47.998800000	3.92	47.886276467	0.261935600
1656460579.3416340	2.78300	0.412706	2686.785000000	-10.69	2640.191134888	48.027400000	3.92	47.915153337	-1.404351000
1656460581.6780469	2.77300	0.419896	2688.620000000	-10.69	2641.994312564	48.170400000	3.89	48.059193618	0.720123500
1656460582.9390471	2.78500	0.424210	2693.500000000	-10.69	2646.737367850	48.227600000	3.89	48.116261565	-1.037364000
1656460584.1707640	2.78500	0.428524	2697.775000000	-10.69	2650.938148339	48.284800000	3.92	48.171605998	-1.343289000
1656460585.4410169	2.76300	0.432838	2700.825000000	-10.70	2653.882708621	48.427800000	3.90	48.315654719	-1.395165000
1656460587.4639831	2.77900	0.440028	2704.790000000	-10.70	2657.726200066	48.551800000	3.84	48.442799132	1.213002000
1656460588.6833820	2.78000	0.442904	2709.370000000	-10.70	2662.226507297	48.685400000	3.90	48.572658189	1.074941000
1656460590.5377901	2.77500	0.450094	2704.790000000	-10.70	2657.726200066	48.695000000	3.89	48.582928557	-1.279385000
1656460591.7545371	2.78100	0.452970	2711.505000000	-10.71	2664.271604162	48.771200000	3.86	48.660678052	0.264860700
1656460593.5833180	2.77300	0.460160	2713.945000000	-10.71	2666.669100281	48.847400000	3.85	48.737049282	0.566446900
1656460594.8359771	2.77800	0.464474	2714.250000000	-10.72	2666.915950866	49.000000000	3.85	48.889304545	0.364070800
1656460596.5776970	2.77400	0.470226	2716.390000000	-10.72	2669.018631215	49.066800000	3.86	48.955262192	-1.210084000
1656460597.7841220	2.78200	0.474540	2724.630000000	-10.72	2677.061865268	49.076400000	3.90	48.962752742	0.458955300
1656460599.6451621	2.78900	0.480292	2729.205000000	-10.73	2681.503805964	49.181200000	3.83	49.071130748	0.080365850
1656460600.8519461	2.76800	0.484606	2724.020000000	-10.72	2676.462514994	49.295800000	3.82	49.186507377	-0.135284400
1656460602.1558430	2.77300	0.488920	2727.375000000	-10.73	2679.705790804	49.362400000	3.80	49.253646689	0.262759300
1656460603.3626170	2.77600	0.491796	2732.870000000	-10.73	2685.104748894	49.400600000	3.77	49.293471820	-1.102751000
1656460605.6654689	2.78400	0.500424	2739.885000000	-10.74	2691.890262794	49.505600000	3.83	49.395151106	-0.285218700
1656460606.8842261	2.78200	0.504738	2737.750000000	-10.73	2689.846073604	49.600800000	3.79	49.492209571	0.368891400
1656460608.1697991	2.77500	0.510490	2741.110000000	-10.74	2693.093804392	49.715400000	3.80	49.605868973	-1.485892000
1656460610.1614809	2.77300	0.514804	2748.125000000	-10.75	2699.932278298	49.744000000	3.80	49.634751286	-0.983472000
1656460611.5448041	2.77500	0.519118	2745.990000000	-10.75	2697.834718903	49.810800000	3.85	49.698272874	0.457306800
1656460612.7545860	2.77700	0.523432	2750.570000000	-10.75	2702.280680092	49.934600000	3.79	49.825624341	-0.385917400
1656460614.5876930	2.76500	0.530622	2749.350000000	-10.75	2701.082098551	49.982400000	3.85	49.869485214	-0.473636500
1656460615.8483260	2.78100	0.533498	2757.895000000	-10.76	2709.423187521	50.096800000	3.68	49.993279982	-0.560819700
1656460617.5867040	2.77100	0.539250	2758.200000000	-10.76	2709.722826946	50.154000000	3.79	50.044545529	-0.403551900
1656460618.7941310	2.78000	0.543564	2760.945000000	-10.76	2712.419581771	50.182600000	3.75	50.075155201	0.208663400
1656460620.6525381	2.77300	0.549316	2763.690000000	-10.76	2715.062299540	50.278000000	3.82	50.166179083	-1.263481000
1656460621.8692870	2.77800	0.553630	2764.605000000	-10.76	2715.961199925	50.383000000	3.73	50.276158868	0.230582000
1656460623.1498771	2.77700	0.557944	2768.575000000	-10.77	2719.807184552	50.535600000	3.74	50.428090532	-1.084211000
1656460624.3642840	2.77900	0.562258	2768.575000000	-10.77	2719.807184552	50.573600000	3.84	50.460060105	-1.265458000
1656460626.6675110	2.78300	0.570886	2776.205000000	-10.78	2727.248442273	50.697600000	3.83	50.584491708	-0.688216800
1656460627.8848979	2.77400	0.573762	2775.595000000	-10.78	2726.649199224	50.735800000	3.83	50.622251498	0.726922900
1656460629.1495290	2.77600	0.578076	2778.645000000	-10.78	2729.590995203	50.745400000	3.81	50.633246887	-1.480740000
1656460630.3603020	2.77700	0.582390	2780.475000000	-10.78	2731.388688510	50.840600000	3.85	50.725746462	0.266549500
1656460632.6574531	2.78000	0.589580	2782.610000000	-10.79	2733.431470472	50.888400000	3.74	50.780139985	-1.413416000
1656460633.8623221	2.77300	0.593894	2787.495000000	-10.79	2738.230135298	50.983800000	3.80	50.871474484	0.792883800
1656460635.2735629	2.77600	0.599646	2790.850000000	-10.79	2741.525840619	51.050400000	3.74	50.941446540	0.449726100
1656460636.4859800	2.76800	0.602522	2792.375000000	-10.79	2742.969140163	51.174400000	3.77	51.063425228	-1.233156000
1656460638.4002221	2.76900	0.609712	2791.155000000	-10.79	2741.770725784	51.241200000	3.71	51.133931576	1.195452000
1656460639.6608720	2.77700	0.614026	2796.955000000	-10.80	2747.413237362	51.298400000	3.82	51.184667457	-1.427300000
1656460641.6535659	2.77300	0.619778	2798.175000000	-10.81	2748.556705477	51.308000000	3.79	51.195672019	-0.167051200
1656460642.8679719	2.78400	0.624092	2803.365000000	-10.81	2753.654674439	51.432000000	3.82	51.317612526	-1.224338000
1656460644.1548920	2.77100	0.628406	2801.230000000	-10.81	2751.557533065	51.508200000	3.71	51.400023522	-1.279055000
1656460645.3643150	2.77600	0.632720	2803.670000000	-10.81	2753.954266064	51.536800000	3.77	51.425394291	0.299386500
1656460647.6751599	2.77200	0.639910	2807.940000000	-10.81	2758.093404570	51.737200000	3.76	51.626072052	-1.076176000
1656460648.8959031	2.77600	0.644224	2809.770000000	-10.81	2759.890918381	51.765800000	3.77	51.653899268	-1.399491000
1656460650.1585360	2.77600	0.648538	2814.350000000	-10.82	2764.334313706	51.765800000	3.71	51.657433378	1.128295000
1656460651.3746569	2.78300	0.652852	2813.130000000	-10.82	2763.135995137	51.889800000	3.77	51.777273840	-0.685250900
1656460653.6631961	2.77400	0.660042	2817.705000000	-10.82	2767.629689768	51.985000000	3.86	51.867195159	-0.808281100
1656460654.8789589	2.77500	0.664356	2821.370000000	-10.82	2771.174087843	52.042400000	3.80	51.927742218	-1.016763000
1656460656.1076789	2.77600	0.668670	2821.065000000	-10.82	2770.874514197	52.090000000	3.82	51.974149099	1.040744000
1656460657.3686731	2.77400	0.672984	2825.945000000	-10.83	2775.612103373	52.185400000	3.76	52.073309349	-1.107326000
1656460659.5907540	2.78900	0.680174	2831.135000000	-10.84	2780.653942558	52.242600000	3.73	52.131815439	1.004324000
1656460660.8085001	2.77200	0.684488	2829.305000000	-10.84	2778.856572700	52.280800000	3.83	52.163793734	-0.040066240
1656460662.6655591	2.77900	0.690240	2834.185000000	-10.84	2783.649558990	52.376000000	3.77	52.262780215	-0.634490100
1656460663.8803210	2.77500	0.694554	2833.270000000	-10.84	2782.695079781	52.318800000	3.77	52.205343527	0.143278600
1656460665.1609049	2.77200	0.698868	2834.490000000	-10.84	2783.949120633	52.404800000	3.72	52.294384735	-0.470463800
1656460666.3796549	2.76600	0.703182	2839.985000000	-10.84	2789.290214541	52.442800000	3.89	52.321730337	0.700512100
1656460668.6845191	2.78300	0.710372	2843.950000000	-10.85	2793.128402594	52.643200000	3.74	52.530847133	-1.138598000
1656460669.8942931	2.77000	0.714686	2841.815000000	-10.85	2791.031555203	52.719400000	3.77	52.605074802	-1.066699000
1656460671.4810660	2.76700	0.719000	2846.395000000	-10.85	2795.473596206	52.776600000	3.79	52.661422051	-0.443558700
1656460672.6914811	2.78100	0.723314	2850.970000000	-10.85	2799.966750424	52.757600000	3.80	52.641732761	0.551408400
1656460674.5668540	2.77000	0.730504	2851.275000000	-10.86	2800.210053069	52.843400000	3.77	52.729169849	-1.195169000
1656460675.7806129	2.77800	0.733380	2849.750000000	-10.85	2798.768575966	52.948200000	3.76	52.834107396	0.720742000
1656460677.6147180	2.77500	0.740570	2855.550000000	-10.86	2804.408489900	53.062800000	3.68	52.953507789	0.208210200
1656460678.8769989	2.76400	0.744884	2859.515000000	-10.87	2808.246044381	53.091400000	3.78	52.975901860	-1.344814000
1656460680.1639309	2.77500	0.749198	2860.735000000	-10.87	2809.444170698	53.215400000	3.81	53.097787906	0.767421300
1656460681.3796830	2.77600	0.752074	2861.040000000	-10.87	2809.743702277	53.215400000	3.79	53.099264429	-1.424830000
1656460683.6103849	2.77300	0.760702	2865.620000000	-10.87	2814.185000671	53.329800000	3.77	53.214151113	-1.135137000
1656460684.8155320	2.77300	0.763578	2863.180000000	-10.87	2811.788796219	53.348800000	3.77	53.233477339	-0.996697700
1656460686.6732240	2.78100	0.770768	2868.365000000	-10.87	2816.880730679	53.453800000	3.76	53.338984913	-1.102752000
1656460687.8863311	2.78100	0.773644	2872.030000000	-10.88	2820.423204461	53.501400000	3.78	53.385009922	0.560390600
1656460689.3500831	2.77400	0.779396	2871.115000000	-10.88	2819.524645869	53.577800000	3.77	53.461613310	-0.959079900
1656460690.5758171	2.77600	0.783710	2873.250000000	-10.88	2821.621282583	53.663600000	3.76	53.548334278	1.009102000
1656460692.5040331	2.77700	0.789462	2875.995000000	-10.88	2824.260105898	53.625400000	3.59	53.519934838	-1.149887000
1656460693.7224340	2.79000	0.793776	2877.215000000	-10.88	2825.458159903	53.720800000	3.76	53.605411416	0.607605500
1656460695.5768480	2.77400	0.799528	2880.880000000	-10.89	2829.000251925	53.844800000	3.79	53.726918233	0.849245400
1656460696.7916081	2.78700	0.803842	2881.185000000	-10.89	2829.299759394	53.892400000	3.82	53.772916358	0.269269200
1656460698.6183851	2.77400	0.812470	2884.540000000	-10.89	2832.594341552	54.035400000	3.76	53.919335677	-0.587189400
1656460701.1719410	2.76900	0.818222	2888.510000000	-10.90	2836.435686537	54.102200000	3.82	53.981873861	-0.242904700
1656460702.3896921	2.77000	0.822536	2892.780000000	-10.90	2840.628706600	54.121400000	3.82	54.001031159	-0.312494600
1656460704.6117690	2.76000	0.829726	2890.950000000	-10.90	2838.774456516	54.216600000	3.76	54.100146472	1.091751000
1656460705.8760400	2.77400	0.834040	2895.830000000	-10.90	2843.566382819	54.216600000	3.71	54.103102868	-0.493825600
1656460707.1809249	2.77700	0.838354	2895.830000000	-10.91	2843.509013525	54.340600000	3.80	54.220878913	0.564840200
1656460708.3887081	2.77600	0.842668	2901.020000000	-10.91	2848.605242164	54.436000000	3.80	54.316068732	-0.979474400
1656460710.6975689	2.76700	0.849858	2900.410000000	-10.91	2848.006263461	54.455200000	3.79	54.335981892	-1.377941000
1656460711.9069710	2.77700	0.854172	2903.460000000	-10.91	2850.943605261	54.512400000	3.75	54.395684767	0.576664500
1656460713.1789241	2.77300	0.858486	2905.295000000	-10.91	2852.745414659	54.512400000	3.80	54.392678836	-0.493331500
1656460714.3936961	2.78400	0.862800	2904.375000000	-10.91	2851.842055179	54.636200000	3.81	54.515447776	0.493811100
1656460716.6882269	2.77400	0.869990	2908.345000000	-10.91	2855.740247719	54.626800000	3.82	54.505307123	0.635539800
1656460717.8999951	2.77900	0.874304	2912.310000000	-10.92	2859.575772198	54.636200000	3.86	54.512001928	-1.387787000
1656460719.1769490	2.77100	0.878618	2913.530000000	-10.92	2860.773681226	54.874800000	3.86	54.750446492	1.331950000
1656460720.3883641	2.77600	0.882932	2914.145000000	-10.92	2861.377545204	54.922400000	3.79	54.802539127	-1.367886000
1656460722.6028261	2.76600	0.890122	2916.280000000	-10.92	2863.473886003	54.951000000	3.74	54.833721750	-0.728266000
1656460723.8225870	2.77600	0.894436	2920.855000000	-10.93	2867.850094572	55.046400000	3.80	54.925506055	1.260177000
1656460725.6852469	2.77200	0.900188	2919.635000000	-10.93	2866.710200621	55.113200000	3.73	54.996703465	-1.185610000
1656460726.8923750	2.77400	0.904502	2922.380000000	-10.93	2869.347420318	55.141800000	3.80	55.020696536	-0.957884700
1656460728.1789579	2.76500	0.908816	2922.075000000	-10.93	2869.105970260	55.151200000	3.88	55.024660934	1.192774000
1656460729.3883779	2.77200	0.913130	2926.045000000	-10.93	2872.945911376	55.160800000	3.86	55.035798379	-0.762586700
1656460731.7065539	2.77200	0.920320	2927.570000000	-10.94	2874.385081412	55.361000000	3.77	55.241327621	1.136452000
1656460732.9203279	2.76800	0.924634	2929.705000000	-10.94	2876.481295046	55.275200000	3.80	55.153419839	-1.247990000
1656460734.1865900	2.76500	0.928948	2929.400000000	-10.94	2876.181835955	55.427800000	3.79	55.306836158	-1.102586000
1656460735.3993630	2.77800	0.933262	2933.370000000	-10.94	2880.021410788	55.475600000	3.75	55.356822482	0.931810700
1656460737.6866369	2.77100	0.940452	2935.810000000	-10.94	2882.417035016	55.628200000	3.79	55.506798812	-1.069131000
1656460738.9033661	2.77500	0.944766	2937.335000000	-10.94	2883.914300159	55.714000000	3.83	55.589310112	-0.498728700
1656460740.1799819	2.77400	0.949080	2938.860000000	-10.95	2885.353122032	55.723400000	3.83	55.599078955	0.822053600
1656460741.3997271	2.76400	0.953394	2940.695000000	-10.95	2887.154712778	55.704400000	3.76	55.584750779	-1.336903000
1656460743.6154621	2.77800	0.960584	2943.440000000	-10.95	2889.849735446	55.752000000	3.90	55.622893914	-0.901396300
1656460744.8152630	2.77000	0.964898	2946.490000000	-10.96	2892.785578352	55.809400000	3.84	55.684105510	0.421174900
1656460746.5888929	2.76600	0.970650	2946.795000000	-10.96	2893.085019247	55.962000000	3.80	55.838706708	-0.962705400
1656460747.7923319	2.76800	0.973526	2947.710000000	-10.96	2893.983341930	56.076400000	3.84	55.950506083	-1.228049000
1656460749.6842840	2.77700	0.980716	2951.375000000	-10.96	2897.522785833	56.162200000	3.79	56.039633427	-0.225228900
1656460750.8950610	2.77000	0.985030	2951.680000000	-10.96	2897.822220656	56.057200000	3.77	55.936022664	-0.952405200
1656460752.1799951	2.76800	0.989344	2952.900000000	-10.96	2899.019959946	56.114400000	3.81	55.990380786	0.961722300
1656460753.3917730	2.78000	0.992220	2953.510000000	-10.96	2899.618829591	56.171800000	3.75	56.051531864	-1.131017000
1656460755.6936271	2.76500	1.000848	2956.560000000	-10.97	2902.554287065	56.381600000	3.89	56.251437208	1.136329000
1656460756.9093771	2.76500	1.005162	2957.170000000	-10.97	2903.153144560	56.391000000	3.81	56.266369468	-0.129557200
1656460758.1836360	2.76100	1.008038	2959.005000000	-10.97	2904.954625713	56.333800000	3.77	56.211636758	0.948455500
1656460759.3934121	2.77300	1.012352	2962.360000000	-10.97	2908.189303762	56.343400000	3.86	56.215718452	0.990768200
1656460761.6833110	2.77600	1.020980	2963.885000000	-10.97	2909.686417107	56.534200000	3.76	56.412768426	-1.237690000
1656460762.8944349	2.76400	1.023856	2964.495000000	-10.97	2910.285262445	56.667600000	3.76	56.545492846	-0.647427300
1656460764.1836460	2.76800	1.028170	2965.715000000	-10.97	2911.482953120	56.715400000	3.77	56.592409235	-1.239915000
1656460765.4067380	2.76400	1.032484	2967.855000000	-10.98	2913.524640735	56.648600000	3.75	56.527310999	-0.855292100
