----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	notsure
1656462251.0744359	2.77700	5.987832	3417.375000000	-11.42	3349.741835138	103.607800000	0.32	103.606143444	0.299634000
1656462252.7968409	2.79000	5.993584	3417.685000000	-11.41	3350.116533176	103.359800000	0.38	103.357550643	-1.126858000
1656462254.0026319	2.77700	5.997898	3416.460000000	-11.41	3348.915751725	103.350200000	0.40	103.347731548	-0.223045100
1656462255.7729089	2.78600	6.003650	3416.765000000	-11.41	3349.214721800	103.665000000	0.42	103.662214818	0.712626100
1656462256.9787021	2.79300	6.007964	3418.600000000	-11.42	3350.942591201	103.769800000	0.37	103.767612842	-0.150570500
1656462258.7722681	2.78000	6.013716	3418.295000000	-11.41	3350.714473327	103.741200000	0.50	103.737281391	0.740395400
1656462259.9880331	2.77500	6.018030	3417.070000000	-11.42	3349.442871384	103.798600000	0.53	103.794192615	-0.201290600
1656462261.8676629	2.78100	6.023782	3418.600000000	-11.42	3350.942591201	103.598200000	0.48	103.594564561	-0.660735900
1656462263.0704589	2.78400	6.028096	3415.850000000	-11.41	3348.317811574	103.798600000	0.51	103.794487994	-0.786979900
1656462264.8759029	2.79500	6.033848	3416.765000000	-11.41	3349.214721800	103.865200000	0.37	103.863010832	0.848916700
1656462266.0804350	2.78100	6.038162	3419.820000000	-11.42	3352.138446218	103.827200000	0.45	103.823997725	0.828029100
1656462267.8706629	2.78600	6.043914	3419.210000000	-11.42	3351.540518709	103.951000000	0.49	103.947260416	-0.542361800
1656462269.0917690	2.77400	6.048228	3418.600000000	-11.42	3350.942591201	104.065600000	0.37	104.063406608	-0.748413700
1656462270.8700261	2.78600	6.053980	3418.600000000	-11.42	3350.942591201	104.151400000	0.29	104.150028854	0.407620200
1656462272.0744600	2.79500	6.058294	3418.600000000	-11.42	3350.942591201	104.246800000	0.35	104.244810277	0.988586100
1656462273.8061919	2.77600	6.064046	3419.515000000	-11.42	3351.839482463	104.256200000	0.34	104.254407315	0.065945750
1656462275.0628500	2.79600	6.068360	3418.600000000	-11.42	3350.942591201	104.199000000	0.34	104.197208299	-1.129246000
1656462276.7992239	2.78000	6.074112	3418.905000000	-11.42	3351.241554955	104.141800000	0.35	104.139812281	0.901198800
1656462278.0156200	2.78800	6.078426	3419.515000000	-11.42	3351.839482463	104.418400000	0.47	104.414826811	0.553098500
1656462279.7752831	2.78000	6.084178	3419.515000000	-11.42	3351.839482463	104.399400000	0.33	104.397668393	-0.607749900
1656462280.9840691	2.77900	6.088492	3418.600000000	-11.42	3350.942591201	104.571000000	0.37	104.568866480	0.741672000
1656462282.7792780	2.77200	6.094244	3421.345000000	-11.42	3353.633264989	104.485200000	0.26	104.484140702	0.874667100
1656462283.9926839	2.78600	6.098558	3416.460000000	-11.41	3348.915751725	104.552000000	0.34	104.550137450	-1.221787000
1656462285.8710411	2.77300	6.104310	3420.430000000	-11.42	3352.736373726	104.332600000	0.39	104.330183024	1.212056000
1656462287.0778270	2.79400	6.108624	3418.600000000	-11.42	3350.942591201	104.571000000	0.37	104.568866480	-1.004362000
1656462288.8746719	2.77300	6.114376	3420.430000000	-11.42	3352.736373726	104.819000000	0.37	104.816861420	-1.188618000
1656462290.0838151	2.79400	6.118690	3420.125000000	-11.42	3352.437409972	104.580600000	0.18	104.580083916	1.076877000
1656462291.8740320	2.78200	6.124442	3420.430000000	-11.42	3352.736373726	104.666400000	0.35	104.664469414	-1.219188000
1656462293.0977719	2.78900	6.128756	3419.210000000	-11.42	3351.540518709	104.656800000	0.36	104.654734164	-1.223022000
1656462294.8102119	2.77500	6.134508	3421.040000000	-11.42	3353.334301235	104.838000000	0.25	104.836985986	-1.276956000
1656462296.0159841	2.79100	6.138822	3417.990000000	-11.42	3350.344663692	104.790400000	0.35	104.788467127	0.940504500
1656462297.7862740	2.78400	6.144574	3419.820000000	-11.42	3352.138446218	104.952400000	0.30	104.950961338	-0.457774000
1656462298.9927001	2.77900	6.148888	3419.820000000	-11.42	3352.138446218	104.971600000	0.27	104.970434470	-0.876389200
1656462300.7773011	2.78000	6.154640	3421.345000000	-11.42	3353.562319119	104.952400000	0.28	104.951128798	-0.902551500
1656462301.9810920	2.78300	6.157516	3420.125000000	-11.42	3352.437409972	105.190800000	0.16	105.190379533	-1.090062000
1656462303.8756840	2.78200	6.164706	3420.735000000	-11.42	3353.035337480	105.324400000	0.20	105.323732404	-1.371845000
1656462305.0894511	2.78100	6.169020	3420.125000000	-11.42	3352.437409972	105.238600000	0.18	105.238080669	-0.582945600
1656462306.8886549	2.78400	6.174772	3420.430000000	-11.42	3352.736373726	105.171800000	0.31	105.170240691	0.808128300
1656462308.0914471	2.78900	6.179086	3421.345000000	-11.42	3353.633264989	105.143200000	0.32	105.141580582	-1.377736000
1656462309.8746941	2.77800	6.184838	3421.345000000	-11.42	3353.633264989	105.066800000	0.37	105.064585506	1.376611000
1656462311.0804770	2.78000	6.189152	3419.820000000	-11.42	3352.138446218	105.257600000	0.26	105.256482660	-0.810012400
1656462312.8820331	2.77200	6.194904	3422.260000000	-11.42	3354.530156252	105.028800000	0.26	105.027735191	0.137345900
1656462314.0904541	2.78300	6.199218	3421.040000000	-11.42	3353.334301235	105.219400000	0.25	105.218382297	1.078196000
1656462315.8178549	2.78200	6.204970	3421.040000000	-11.42	3353.334301235	105.419800000	0.28	105.418523137	-0.568361400
1656462317.0788469	2.79000	6.207846	3420.430000000	-11.42	3352.736373726	105.305400000	0.16	105.304979075	-0.159181800
1656462318.8038931	2.77400	6.213598	3423.785000000	-11.42	3355.953978556	105.572400000	0.23	105.571564119	-1.366775000
1656462320.0060380	2.79300	6.217912	3421.955000000	-11.42	3354.231192497	105.581800000	0.23	105.580919468	1.080461000
1656462321.8767021	2.78700	6.223664	3420.430000000	-11.42	3352.736373726	105.744000000	0.10	105.743851570	0.738870900
1656462323.0924590	2.77500	6.227978	3421.345000000	-11.42	3353.633264989	105.925200000	0.08	105.925086163	-1.077990000
1656462324.9209421	2.78600	6.235168	3421.650000000	-11.42	3353.932228743	105.810800000	0.22	105.810048097	-0.902305000
1656462326.1832240	2.77700	6.239482	3421.345000000	-11.42	3353.633264989	105.782200000	0.20	105.781529502	0.753497200
1656462327.7224770	2.78500	6.243796	3421.345000000	-11.42	3353.633264989	105.925200000	0.17	105.924711548	-0.727359500
1656462328.9741380	2.78100	6.248110	3421.650000000	-11.42	3353.932228743	105.992000000	0.25	105.991023061	1.005148000
1656462330.8787079	2.78700	6.253862	3419.820000000	-11.42	3352.138446218	106.011000000	0.07	106.010929666	0.333418200
1656462332.0954599	2.79100	6.258176	3422.870000000	-11.42	3355.128083760	105.972800000	0.08	105.972701801	-1.402827000
1656462333.8830521	2.78900	6.263928	3422.870000000	-11.42	3355.128083760	105.763000000	0.32	105.761308985	1.128090000
1656462335.0878401	2.78000	6.268242	3421.345000000	-11.42	3353.633264989	105.858400000	0.17	105.857911856	1.012605000
1656462336.8232241	2.78200	6.273994	3423.480000000	-11.42	3355.726011269	105.982400000	0.28	105.981170366	0.551779500
1656462338.0758669	2.78900	6.278308	3421.650000000	-11.42	3353.932228743	105.915600000	0.33	105.913843244	-1.313626000
1656462339.8072751	2.78300	6.284060	3421.650000000	-11.42	3353.932228743	106.192200000	0.25	106.191172888	1.044494000
1656462341.0270121	2.78500	6.288374	3421.345000000	-11.42	3353.633264989	106.325800000	0.16	106.325405895	-1.297679000
1656462342.8827059	2.77800	6.294126	3422.565000000	-11.42	3354.829120006	106.344800000	0.20	106.344165004	-0.850801900
1656462344.0958481	2.78900	6.298440	3420.125000000	-11.42	3352.437409972	106.344800000	0.18	106.344275210	1.201591000
1656462345.9289491	2.77500	6.304192	3424.700000000	-11.42	3356.850850845	106.459200000	0.20	106.458564321	-1.339996000
1656462347.1852410	2.78900	6.308506	3423.480000000	-11.42	3355.726011269	106.230400000	0.12	106.230167011	-1.224217000
1656462348.4282880	2.78100	6.312820	3423.175000000	-11.42	3355.356063697	106.249400000	0.12	106.249166969	0.654204000
1656462349.6849320	2.78600	6.317134	3421.650000000	-11.42	3353.932228743	106.325800000	0.16	106.325405895	0.558124600
1656462351.8936851	2.79300	6.324324	3421.955000000	-11.42	3354.231192497	106.383000000	0.13	106.382717678	0.980345500
1656462353.1137929	2.77600	6.328638	3421.650000000	-11.42	3353.932228743	106.507000000	0.16	106.506574272	0.119794600
1656462354.8880630	2.79500	6.334390	3421.955000000	-11.42	3354.231192497	106.459200000	0.16	106.458774463	0.959745200
1656462356.1048181	2.78600	6.338704	3422.870000000	-11.42	3355.057106267	106.754800000	0.30	106.753336632	1.246994000
1656462357.8308620	2.77900	6.344456	3423.785000000	-11.42	3355.953978556	106.602400000	-0.01	106.602397662	0.142866800
1656462359.0888669	2.78400	6.348770	3422.870000000	-11.42	3355.057106267	106.878800000	0.19	106.878199907	-0.913058100
1656462360.8162639	2.78200	6.354522	3424.395000000	-11.42	3356.551893416	106.669000000	0.17	106.668508118	-1.421124000
1656462362.0230319	2.77800	6.358836	3423.480000000	-11.42	3355.655021127	106.926600000	0.07	106.926515574	0.938568400
1656462363.7969589	2.77800	6.364588	3425.005000000	-11.42	3357.149808275	106.993400000	0.16	106.993003420	-1.385318000
1656462365.0107200	2.79400	6.368902	3423.480000000	-11.42	3355.726011269	107.146000000	0.16	107.145602855	-0.334703000
1656462366.8867221	2.79100	6.374654	3421.345000000	-11.42	3353.562319119	106.821600000	0.14	106.821290157	-0.293130000
1656462368.1048300	2.79100	6.378968	3423.480000000	-11.42	3355.726011269	107.079200000	0.04	107.079178863	0.726592700
1656462369.9086659	2.78200	6.384720	3424.090000000	-11.42	3356.252935986	107.117200000	0.20	107.116560392	0.779906700
1656462371.1204360	2.78100	6.389034	3423.785000000	-11.42	3355.953978556	107.146000000	0.23	107.145106423	0.849740700
1656462372.8917150	2.77900	6.394786	3423.480000000	-11.42	3355.726011269	107.193600000	-0.04	107.193571200	0.654369200
1656462374.0998571	2.77900	6.399100	3425.005000000	-11.42	3357.149808275	107.203200000	0.10	107.203049521	0.840017300
1656462375.8907180	2.79100	6.404852	3422.565000000	-11.42	3354.829120006	107.298400000	0.10	107.298249388	-0.970700300
1656462377.1008511	2.78200	6.409166	3423.175000000	-11.42	3355.356063697	107.451000000	0.13	107.450714844	-1.094390000
1656462378.8857391	2.77400	6.414918	3425.920000000	-11.42	3358.046680564	107.126800000	0.07	107.126715416	-1.291953000
1656462380.0945129	2.77700	6.419232	3425.005000000	-11.42	3357.149808275	107.498800000	0.01	107.498799411	-1.343538000
1656462381.8292460	2.78800	6.424984	3424.395000000	-11.42	3356.551893416	107.222200000	0.17	107.221705567	0.767052900
1656462383.0326841	2.78500	6.427860	3425.005000000	-11.42	3357.220830040	107.432000000	0.18	107.431469845	-0.467662400
1656462384.8033180	2.78300	6.433612	3425.005000000	-11.42	3357.149808275	107.393800000	0.17	107.393338340	0.834660800
1656462386.0110991	2.78700	6.437926	3422.260000000	-11.42	3354.530156252	107.556000000	-0.01	107.555997641	-0.711167300
1656462387.8920910	2.78300	6.445116	3425.310000000	-11.42	3357.448765705	107.813400000	0.03	107.813385221	-0.230668000
1656462389.0955191	2.78200	6.449430	3424.700000000	-11.42	3356.850850845	107.813400000	-0.11	107.813208466	0.066646200
1656462390.9136741	2.78900	6.455182	3423.785000000	-11.42	3355.953978556	107.651400000	-0.10	107.651229414	0.701337500
1656462392.1194630	2.77300	6.458058	3425.615000000	-11.42	3357.747723134	107.908800000	-0.07	107.908728407	-0.135737900
1656462393.9076910	2.79500	6.465248	3422.870000000	-11.42	3355.128083760	107.680000000	0.07	107.679914979	-0.213980900
1656462395.1224530	2.77800	6.468124	3425.005000000	-11.42	3357.149808275	107.641800000	0.13	107.641539717	-1.384329000
1656462396.8967259	2.78700	6.475314	3423.175000000	-11.42	3355.356063697	107.746800000	-0.04	107.746778732	-1.121295000
1656462398.1015120	2.78400	6.478190	3424.700000000	-11.42	3356.850850845	107.937400000	-0.05	107.937362123	-1.040949000
1656462399.8907411	2.78000	6.485380	3426.535000000	-11.42	3358.649496365	108.071000000	0.07	108.070914671	-1.191008000
1656462401.1038330	2.78200	6.488256	3423.175000000	-11.42	3355.427047514	108.032800000	-0.04	108.032778675	0.770843200
1656462402.8239281	2.78500	6.494008	3424.700000000	-11.42	3356.850850845	108.299800000	-0.05	108.299761996	-0.015509820
1656462404.0337031	2.79200	6.498322	3425.005000000	-11.42	3357.149808275	108.080600000	-0.02	108.080594666	-1.272342000
1656462405.8113170	2.77300	6.504074	3427.145000000	-11.42	3359.247411224	107.870600000	-0.03	107.870585213	-0.575283500
1656462407.0257280	2.77800	6.508388	3425.005000000	-11.42	3357.149808275	108.319000000	-0.08	108.318883591	-0.691884300
1656462408.9136910	2.79100	6.514140	3425.310000000	-11.42	3357.448765705	108.290400000	0.02	108.290394656	0.286367500
1656462410.1254630	2.78600	6.518454	3424.700000000	-11.42	3356.850850845	108.099600000	0.04	108.099578662	-1.333567000
1656462411.9230421	2.77500	6.524206	3427.145000000	-11.42	3359.247411224	108.357000000	0.02	108.356994653	-0.491724300
1656462413.1344399	2.78300	6.528520	3425.005000000	-11.42	3357.149808275	108.299800000	-0.03	108.299785154	-1.069915000
1656462414.9040840	2.78400	6.534272	3426.535000000	-11.42	3358.649496365	108.147200000	0.01	108.147197628	0.648684500
1656462416.1085150	2.78500	6.538586	3425.310000000	-11.42	3357.448765705	108.538200000	0.01	108.538197619	-0.959987400
1656462417.9020920	2.79500	6.544338	3425.005000000	-11.42	3357.149808275	108.710000000	-0.05	108.709961852	-0.757519600
1656462419.1158600	2.77900	6.548652	3426.230000000	-11.42	3358.350538935	108.614600000	-0.03	108.614585111	-1.231426000
1656462420.8927610	2.79000	6.554404	3424.090000000	-11.42	3356.252935986	108.299800000	0.02	108.299794656	0.972600000
1656462422.1098709	2.78400	6.558718	3426.230000000	-11.42	3358.350538935	108.538200000	0.04	108.538170839	-1.275802000
1656462423.8322790	2.77500	6.564470	3428.365000000	-11.42	3360.443240943	108.757600000	-0.04	108.757570780	-1.444607000
1656462425.0949230	2.79700	6.568784	3425.920000000	-11.42	3358.046680564	108.853000000	-0.10	108.852827509	-0.331283600
1656462426.8272960	2.77500	6.574536	3427.755000000	-11.42	3359.845326084	108.538200000	-0.04	108.538170839	0.695239800
1656462428.0420470	2.78400	6.578850	3428.060000000	-11.42	3360.144283514	108.853000000	-0.08	108.852899132	-1.418322000
1656462429.8040071	2.77600	6.584602	3427.145000000	-11.42	3359.247411224	108.795800000	0.05	108.795751680	0.424676900
1656462431.0167749	2.79500	6.588916	3425.920000000	-11.42	3358.046680564	108.776600000	0.02	108.776590457	-0.008505446
1656462432.8957651	2.79300	6.594668	3427.145000000	-11.42	3359.247411224	108.986400000	-0.02	108.986394622	-0.794437200
1656462434.1065390	2.78700	6.598982	3427.755000000	-11.42	3359.845326084	109.005600000	-0.01	109.005597609	0.239728800
1656462435.9057419	2.78200	6.604734	3428.365000000	-11.42	3360.443240943	109.272600000	0.01	109.272599401	-1.328666000
1656462437.1224971	2.78500	6.609048	3425.615000000	-11.42	3357.747723134	108.986400000	-0.04	108.986378487	0.832932000
1656462438.9047470	2.78800	6.614800	3427.145000000	-11.42	3359.247411224	108.929200000	0.05	108.929161775	-0.837493800
1656462440.1128891	2.78600	6.619114	3428.365000000	-11.42	3360.443240943	109.225000000	-0.10	109.224846683	0.773725700
1656462441.9027569	2.78400	6.624866	3427.755000000	-11.42	3359.845326084	109.225000000	0.01	109.224997604	0.553757700
1656462443.1218801	2.76600	6.629180	3425.920000000	-11.42	3358.046680564	109.072400000	-0.06	109.072340194	-1.254913000
1656462444.8352940	2.78700	6.634932	3428.060000000	-11.42	3360.144283514	109.444200000	-0.05	109.444151392	-1.417950000
1656462446.0490601	2.79200	6.639246	3428.060000000	-11.42	3360.144283514	109.692200000	0.01	109.692199399	1.335164000
1656462447.8173449	2.79200	6.644998	3427.450000000	-11.42	3359.546368654	109.673200000	-0.04	109.673178351	-1.350502000
1656462449.0211451	2.77600	6.649312	3428.670000000	-11.42	3360.742198373	109.377600000	-0.03	109.377585007	0.487383900
1656462450.9061179	2.78700	6.655064	3425.920000000	-11.42	3358.046680564	109.301200000	-0.16	109.300763103	-0.930528400
1656462452.1235099	2.78400	6.659378	3428.975000000	-11.42	3361.041155803	109.549200000	-0.07	109.549113503	-0.052839090
1656462453.9356790	2.79300	6.665130	3428.975000000	-11.42	3361.041155803	109.396600000	-0.11	109.396383460	1.201180000
1656462455.1498151	2.79400	6.669444	3428.670000000	-11.42	3360.742198373	109.558800000	-0.16	109.558393911	-1.344115000
1656462456.9140949	2.79100	6.675196	3426.840000000	-11.42	3358.948453795	109.606400000	-0.10	109.606246148	-0.343685100
1656462458.1215229	2.78300	6.679510	3428.975000000	-11.43	3360.970014857	109.797200000	-0.27	109.795980890	0.882165500
1656462459.9117501	2.78100	6.685262	3428.670000000	-11.42	3360.742198373	109.520600000	-0.13	109.520309351	-0.820147400
1656462461.1288610	2.80100	6.689576	3428.670000000	-11.42	3360.742198373	109.739800000	-0.02	109.739790373	0.921471600
1656462462.9138751	2.77700	6.695328	3429.585000000	-11.43	3361.567917061	109.949800000	-0.10	109.949625771	-0.757890900
1656462464.1205311	2.78000	6.698204	3426.230000000	-11.42	3358.350538935	109.883000000	-0.16	109.882592710	-1.125208000
1656462465.8422971	2.78400	6.705394	3429.890000000	-11.42	3361.938028092	109.883000000	-0.15	109.882623437	-0.853727300
1656462467.0587010	2.79500	6.708270	3428.975000000	-11.42	3361.041155803	110.083200000	-0.17	110.082726779	0.271370500
1656462468.8193610	2.78600	6.714022	3430.195000000	-11.43	3362.165819264	109.863800000	-0.17	109.863327722	-1.486348000
1656462470.0351300	2.79300	6.718336	3427.755000000	-11.42	3359.845326084	110.045000000	-0.08	110.044898027	0.896543600
1656462471.8220019	2.78200	6.724088	3428.975000000	-11.42	3361.041155803	109.883000000	-0.07	109.882913240	-0.512325700
1656462473.0307801	2.78800	6.728402	3427.450000000	-11.42	3359.546368654	109.854400000	-0.17	109.853893429	0.103685300
1656462474.9187479	2.78300	6.735592	3428.975000000	-11.42	3361.041155803	110.092800000	-0.17	110.092326738	1.294085000
1656462476.1268821	2.79000	6.738468	3429.280000000	-11.42	3361.340113232	110.264400000	-0.06	110.264339541	0.197992800
1656462477.9260850	2.79000	6.745658	3429.890000000	-11.42	3361.938028092	110.140400000	-0.20	110.139742340	0.704921800
1656462479.1348679	2.77800	6.748534	3430.500000000	-11.43	3362.464770366	110.111800000	-0.04	110.111770416	-1.459852000
1656462480.9191051	2.78000	6.754286	3428.670000000	-11.42	3360.742198373	110.483800000	-0.19	110.483217831	-0.994432100
1656462482.1265340	2.78900	6.758600	3430.195000000	-11.43	3362.165819264	110.264400000	-0.10	110.264245224	-0.796290900
1656462483.9241021	2.78900	6.764352	3428.670000000	-11.42	3360.742198373	110.378800000	-0.17	110.378291011	-1.418692000
1656462485.1286991	2.79000	6.768666	3430.195000000	-11.43	3362.165819264	110.445600000	-0.18	110.445054973	1.435281000
1656462486.8509390	2.79500	6.774418	3427.755000000	-11.42	3359.845326084	110.464600000	-0.22	110.463815027	0.642915100
1656462488.0620830	2.77600	6.778732	3429.585000000	-11.42	3361.639070662	110.617200000	-0.15	110.616820921	-0.821548800
1656462489.8289990	2.78500	6.784484	3428.975000000	-11.42	3361.041155803	110.769800000	-0.22	110.769012858	-0.904076800
1656462491.0531011	2.78100	6.788798	3430.500000000	-11.43	3362.464770366	110.855600000	-0.20	110.854897345	1.018210000
1656462492.9197619	2.79000	6.794550	3428.975000000	-11.43	3360.970014857	110.684000000	-0.29	110.682542853	-0.503673800
1656462494.1378729	2.78100	6.798864	3428.975000000	-11.42	3361.041155803	110.779400000	-0.14	110.779050129	-0.782571600
1656462495.9520359	2.78600	6.804616	3429.890000000	-11.42	3361.938028092	110.846200000	-0.16	110.845789139	-0.411380200
1656462497.1588230	2.79500	6.808930	3428.975000000	-11.43	3360.970014857	110.760400000	-0.25	110.759379110	0.958756500
1656462498.9281020	2.78800	6.814682	3429.585000000	-11.43	3361.567917061	110.645800000	-0.23	110.644923950	-1.312720000
1656462500.1345329	2.79300	6.818996	3431.415000000	-11.43	3363.361623672	110.865200000	-0.34	110.863224983	0.664216100
1656462501.9231200	2.78600	6.824748	3430.805000000	-11.43	3362.763721468	110.474200000	-0.23	110.473278667	-1.141772000
1656462503.1418700	2.79100	6.829062	3432.025000000	-11.43	3363.959525876	110.693600000	-0.21	110.692856492	-0.341460500
1656462504.9217680	2.78300	6.834814	3430.195000000	-11.43	3362.165819264	111.237200000	-0.28	111.235852676	0.270422900
1656462506.1295509	2.78300	6.839128	3429.890000000	-11.42	3361.938028092	111.132200000	-0.27	111.130966068	0.882824900
1656462507.8612900	2.79300	6.844880	3429.585000000	-11.43	3361.567917061	111.304000000	-0.29	111.302534691	0.608966000
1656462509.1159511	2.78800	6.849194	3432.330000000	-11.43	3364.258476978	111.370600000	-0.21	111.369851945	-1.070122000
1656462510.8459799	2.78300	6.854946	3430.500000000	-11.43	3362.464770366	111.199000000	-0.34	111.197019036	0.731620900
1656462512.0700700	2.78700	6.859260	3429.890000000	-11.42	3361.938028092	111.227600000	-0.23	111.226719344	-1.346711000
1656462513.9211340	2.78900	6.865012	3430.805000000	-11.43	3362.763721468	111.237200000	-0.32	111.235486722	-0.137385800
1656462515.1368940	2.78500	6.869326	3431.415000000	-11.43	3363.361623672	111.628200000	-0.37	111.625847211	-0.571121600
1656462516.9600401	2.79500	6.875078	3431.110000000	-11.43	3363.062672570	111.304000000	-0.43	111.300836259	0.153084500
1656462518.2213211	2.78100	6.879392	3430.805000000	-11.43	3362.763721468	111.551800000	-0.35	111.549742412	-1.198508000
1656462519.7652011	2.78700	6.885144	3431.720000000	-11.43	3363.660574774	111.666400000	-0.26	111.665214629	-1.373618000
1656462521.0182271	2.78600	6.889458	3432.025000000	-11.43	3363.959525876	111.628200000	-0.31	111.626608009	-0.456208400
1656462522.9211450	2.78200	6.895210	3430.500000000	-11.43	3362.464770366	111.313400000	-0.28	111.312051753	0.969633600
1656462524.1389060	2.79000	6.899524	3430.805000000	-11.43	3362.763721468	111.523200000	-0.35	111.521071395	-1.221951000
1656462525.9237871	2.79300	6.905276	3430.195000000	-11.43	3362.165819264	111.714000000	-0.28	111.712646901	-1.223353000
1656462527.1295731	2.77300	6.909590	3430.500000000	-11.43	3362.464770366	111.675800000	-0.30	111.674269176	-0.478169600
1656462528.8633111	2.78100	6.915342	3430.805000000	-11.43	3362.763721468	111.971400000	-0.32	111.969675414	-1.050510000
1656462530.1186039	2.78300	6.919656	3431.415000000	-11.43	3363.361623672	111.847600000	-0.29	111.846127535	0.438561700
1656462531.8569751	2.78800	6.925408	3430.500000000	-11.43	3362.464770366	111.952400000	-0.35	111.950263203	1.019364000
1656462533.0607629	2.79000	6.928284	3429.585000000	-11.43	3361.567917061	111.799800000	-0.31	111.798142422	-0.995668800
1656462534.9271431	2.77400	6.935474	3433.550000000	-11.43	3365.454281385	112.124000000	-0.22	112.123203235	-1.196365000
1656462536.1329341	2.79000	6.938350	3430.500000000	-11.43	3362.464770366	112.257600000	-0.26	112.256408353	0.082013920
1656462537.9700410	2.77700	6.945540	3433.245000000	-11.43	3365.155330283	111.952400000	-0.31	111.950740160	0.928061900
1656462539.2296720	2.79100	6.949854	3431.415000000	-11.43	3363.361623672	111.971400000	-0.42	111.968391649	-0.545494200
1656462540.7741990	2.78800	6.954168	3431.110000000	-11.43	3363.062672570	112.038200000	-0.35	112.036061565	0.726263200
1656462542.0278590	2.79000	6.958482	3432.025000000	-11.43	3363.959525876	111.952400000	-0.32	111.950675706	-1.156769000
1656462543.9267981	2.78800	6.965672	3431.415000000	-11.43	3363.361623672	112.000200000	-0.38	111.997684616	1.112393000
1656462545.1359510	2.78500	6.968548	3432.940000000	-11.43	3364.856379181	112.171800000	-0.40	112.169120850	0.169811900
1656462546.9271719	2.79100	6.975738	3432.940000000	-11.43	3364.856379181	111.990600000	-0.26	111.989411187	-0.751133500
1656462548.1455541	2.78300	6.978614	3432.940000000	-11.43	3364.856379181	112.066800000	-0.30	112.065263816	1.108189000
1656462549.8709519	2.79000	6.984366	3432.330000000	-11.43	3364.258476978	112.391200000	-0.25	112.390164079	1.124630000
1656462551.1299510	2.78100	6.988680	3431.110000000	-11.43	3363.062672570	112.124000000	-0.32	112.122273063	-1.110087000
1656462552.8703120	2.78000	6.994432	3432.940000000	-11.43	3364.856379181	112.572400000	-0.40	112.569711282	1.071399000
1656462554.1216221	2.79200	6.998746	3431.415000000	-11.43	3363.361623672	112.725000000	-0.38	112.722468338	-0.814545300
1656462555.9301569	2.78300	7.004498	3432.940000000	-11.43	3364.856379181	112.477000000	-0.49	112.472953697	-0.878366800
1656462557.1545370	2.78400	7.008812	3434.160000000	-11.43	3366.052183589	112.877400000	-0.31	112.875726446	-1.379715000
1656462558.9716909	2.78600	7.014564	3431.415000000	-11.43	3363.361623672	112.410200000	-0.46	112.406639936	-1.313502000
1656462560.2293389	2.79400	7.018878	3431.720000000	-11.43	3363.660574774	112.667600000	-0.43	112.664397499	-1.354663000
1656462561.4644110	2.78700	7.023192	3432.635000000	-11.43	3364.557428079	112.677200000	-0.41	112.674258563	0.307626900
1656462562.7310340	2.77800	7.027506	3432.025000000	-11.43	3363.959525876	112.744000000	-0.42	112.740970892	-0.022308180
1656462564.9630821	2.78700	7.034696	3432.025000000	-11.43	3363.959525876	112.887000000	-0.38	112.884543308	0.502710900
1656462566.1665161	2.79000	7.039010	3431.110000000	-11.43	3363.062672570	112.925200000	-0.41	112.922336916	-1.291996000
1656462567.9361579	2.77900	7.044762	3434.160000000	-11.43	3366.052183589	112.934800000	-0.40	112.932102626	0.292135700
1656462569.1445770	2.78500	7.049076	3431.415000000	-11.43	3363.361623672	113.182600000	-0.40	113.179814169	0.561503400
1656462570.8773119	2.79100	7.054828	3431.415000000	-11.43	3363.361623672	113.259000000	-0.37	113.256689222	0.419444800
1656462572.1289711	2.77900	7.059142	3433.550000000	-11.43	3365.454281385	113.011000000	-0.36	113.008769260	-0.404458800
1656462573.8633561	2.79200	7.064894	3432.025000000	-11.43	3363.959525876	113.201800000	-0.46	113.198214865	0.377997200
1656462575.0787570	2.78100	7.069208	3432.635000000	-11.43	3364.557428079	113.335200000	-0.46	113.331610641	0.209446500
1656462576.9348090	2.78100	7.074960	3432.940000000	-11.43	3364.856379181	113.287600000	-0.49	113.283524536	0.613127700
1656462578.1509309	2.79400	7.079274	3432.330000000	-11.43	3364.258476978	113.430600000	-0.55	113.425335832	-1.155285000
1656462579.9800520	2.79000	7.085026	3432.940000000	-11.43	3364.856379181	113.411600000	-0.31	113.409982575	1.181527000
1656462581.2353439	2.78800	7.089340	3433.550000000	-11.43	3365.454281385	113.354400000	-0.41	113.351440885	-1.252852000
1656462582.7812231	2.79400	7.095092	3432.940000000	-11.43	3364.856379181	113.430600000	-0.49	113.426418015	-1.068803000
1656462584.0372379	2.77800	7.099406	3432.330000000	-11.43	3364.258476978	113.545000000	-0.50	113.540711072	-1.339831000
1656462585.9398041	2.79600	7.105158	3432.025000000	-11.43	3363.959525876	113.430600000	-0.34	113.428649561	1.148114000
1656462587.1485851	2.79300	7.109472	3434.160000000	-11.43	3366.052183589	113.478400000	-0.62	113.471670190	-1.021461000
1656462588.9378130	2.78400	7.115224	3433.855000000	-11.43	3365.753232487	113.688200000	-0.53	113.683372693	0.183737600
1656462590.1406050	2.76900	7.119538	3433.855000000	-11.43	3365.753232487	113.497400000	-0.47	113.493516128	-0.827481600
