----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1656496328.6844280	1.78200	0.168246	781.790000000	-8.59	773.028393400	22.671400000	-4.87	22.589687926
1656496329.7864881	1.78300	0.176874	829.585000000	-8.65	820.157602473	24.013600000	-4.67	23.933946756
1656496330.9872849	1.77500	0.184064	832.830000000	-8.65	823.365726318	24.709800000	-4.72	24.626144142
1656496332.0883529	1.77800	0.191254	875.325000000	-8.70	865.253411471	25.458400000	-4.63	25.375251121
1656496333.7911680	1.78000	0.202758	932.280000000	-8.76	921.404902408	26.779400000	-4.51	26.696627875
1656496336.9164810	1.77600	0.224328	1011.815000000	-8.86	999.752529587	28.946600000	-4.37	28.862291973
1656496338.4936299	1.77800	0.234394	1056.525000000	-8.91	1043.775752937	30.009800000	-4.31	29.925011956
1656496339.7020581	1.77700	0.243022	1091.315000000	-8.94	1078.057287181	30.730000000	-4.21	30.647238034
1656496340.7931471	1.78100	0.250212	1136.325000000	-8.99	1122.353562498	31.466600000	-4.06	31.387555349
1656496341.8942120	1.77800	0.257402	1150.365000000	-9.01	1136.164382959	32.203400000	-4.00	32.124875703
1656496343.6020141	1.77500	0.268906	1184.695000000	-9.05	1169.953768773	33.045000000	-3.98	32.965386707
1656496344.7017269	1.77800	0.276096	1224.675000000	-9.10	1209.274523104	33.657600000	-3.86	33.581327456
1656496345.9922869	1.77400	0.284724	1246.955000000	-9.13	1231.170962850	34.275200000	-3.75	34.201814166
1656496347.0983391	1.78300	0.291914	1283.425000000	-9.16	1267.051173172	34.764000000	-3.73	34.690280191
1656496348.8845739	1.77900	0.303418	1328.285000000	-9.21	1311.161208712	35.851200000	-3.49	35.784864008
1656496349.9899881	1.77600	0.310608	1339.120000000	-9.23	1321.789128396	36.161000000	-3.55	36.091768458
1656496353.7825179	1.77600	0.336492	1435.860000000	-9.34	1416.840573945	37.994600000	-3.25	37.933416954
1656496354.9972789	1.77600	0.345120	1458.595000000	-9.36	1439.175184792	38.328400000	-3.21	38.268262981
1656496356.6000080	1.77300	0.355186	1512.615000000	-9.42	1492.217522840	39.101000000	-3.15	39.041922199
1656496358.7017720	1.77500	0.369566	1538.555000000	-9.45	1517.675665775	39.883000000	-2.96	39.829645371
1656496359.8028131	1.77400	0.376756	1563.730000000	-9.47	1542.401342371	40.307400000	-2.99	40.252380798
1656496360.9447911	1.77500	0.383946	1590.890000000	-9.50	1569.053565781	40.817600000	-2.81	40.768380965
1656496362.0026059	1.77500	0.391136	1606.605000000	-9.52	1584.469445496	41.146600000	-2.83	41.096347604
1656496363.8426960	1.77600	0.404078	1651.925000000	-9.57	1628.935526205	41.823600000	-2.68	41.777787457
1656496364.9028730	1.77600	0.411268	1675.730000000	-9.60	1652.263139200	42.233800000	-2.60	42.190390101
1656496366.5065961	1.77600	0.421334	1704.875000000	-9.63	1680.850893745	42.777400000	-2.57	42.734440773
1656496367.6090050	1.77200	0.428524	1722.115000000	-9.65	1697.757369660	43.039600000	-2.54	42.997381268
1656496369.2067511	1.77400	0.440028	1764.385000000	-9.70	1739.181165139	43.583200000	-2.42	43.544201823
1656496370.8141170	1.77400	0.450094	1775.675000000	-9.71	1750.247216672	44.026600000	-2.30	43.991193604
1656496371.9052041	1.77700	0.457284	1800.090000000	-9.73	1774.185288477	44.403400000	-2.26	44.368800505
1656496373.5282350	1.77500	0.467350	1828.320000000	-9.76	1801.846966651	44.951800000	-2.15	44.920214372
1656496374.6103570	1.77500	0.480292	1862.805000000	-9.80	1835.633826946	45.514400000	-1.99	45.486895201
1656496376.4461010	1.77300	0.487482	1874.550000000	-9.82	1847.107203983	45.757600000	-1.98	45.730280350
1656496377.5062771	1.77300	0.494672	1903.240000000	-9.85	1875.207040953	46.029400000	-1.97	46.002250143
1656496379.1103580	1.77200	0.504738	1917.275000000	-9.86	1888.966611177	46.449000000	-1.93	46.422595728
1656496381.2064121	1.77600	0.519118	1961.375000000	-9.91	1932.133480665	47.049800000	-1.67	47.029720054
1656496382.3064749	1.77300	0.526308	1966.410000000	-9.91	1937.057979599	47.302600000	-1.69	47.281975715
1656496383.4085369	1.77100	0.533498	1982.890000000	-9.93	1953.184660526	47.560000000	-1.64	47.540423258
1656496384.5086069	1.77800	0.542126	2007.760000000	-9.95	1977.536886152	47.827000000	-1.63	47.807742061
1656496386.1143241	1.77400	0.552192	2024.700000000	-9.97	1994.111836492	48.232400000	-1.46	48.216784524
1656496387.2077639	1.77700	0.559382	2051.555000000	-10.00	2020.412135665	48.494600000	-1.40	48.480041032
1656496388.8091440	1.77400	0.570886	2064.980000000	-10.01	2033.520635481	48.919000000	-1.33	48.905900040
1656496389.9052191	1.77500	0.576638	2087.260000000	-10.04	2055.308993275	49.238600000	-1.25	49.226807438
