T [K]	T [K]	T_avg [K]	T_err [K]	A_I [A]	A_I [A]	A_V [V]	A_V [V]	A_R [ohm]	B_I [A]	B_I [A]	B_V [V]	B_V [V]	B_R [ohm]	A_Vg [V]	A_Ileak [A]	B_Vg [V]	B_Ileak [A]	B [T]	B1 [T]	B2 [T]	Time	Day
5.0076E+0	4.9891E+0	4.9984E+0	9.2500E-3	10.0000E-6	-10.0000E-6	889.2271E-6	-881.8302E-6	88.5529E+0	10.0000E-6	-10.0000E-6	-1.3169E-3	1.3137E-3	-131.5324E+0	150.0000E+0	3.2731E-9	150.0000E+0	-114.5825E-12	11.9968E+0	11.9967E+0	11.9969E+0	19:51:03	14/03/2023
4.9733E+0	5.0042E+0	4.9887E+0	-15.4500E-3	10.0000E-6	-10.0000E-6	929.7629E-6	-921.3508E-6	92.5557E+0	10.0000E-6	-10.0000E-6	-1.2869E-3	1.2833E-3	-128.5092E+0	200.0000E+0	1.0760E-9	200.0000E+0	-341.2841E-12	11.9998E+0	12.0000E+0	11.9996E+0	20:51:08	14/03/2023
5.0108E+0	4.9977E+0	5.0042E+0	6.5500E-3	10.0000E-6	-10.0000E-6	930.0340E-6	-921.1128E-6	92.5573E+0	10.0000E-6	-10.0000E-6	-1.2861E-3	1.2826E-3	-128.4337E+0	200.0000E+0	183.2392E-12	200.0000E+0	2.5328E-9	11.9946E+0	11.9966E+0	11.9925E+0	20:51:11	14/03/2023
4.9975E+0	4.9805E+0	4.9890E+0	8.5000E-3	10.0000E-6	-10.0000E-6	929.3970E-6	-920.3336E-6	92.4865E+0	10.0000E-6	-10.0000E-6	-1.2851E-3	1.2816E-3	-128.3318E+0	200.0000E+0	2.5224E-9	200.0000E+0	-338.8188E-12	11.9824E+0	11.9853E+0	11.9796E+0	20:51:14	14/03/2023
4.9853E+0	4.9792E+0	4.9822E+0	3.0500E-3	10.0000E-6	-10.0000E-6	928.2818E-6	-919.2259E-6	92.3754E+0	10.0000E-6	-10.0000E-6	-1.2831E-3	1.2800E-3	-128.1551E+0	200.0000E+0	459.6319E-12	200.0000E+0	2.3287E-9	11.9687E+0	11.9724E+0	11.9650E+0	20:51:18	14/03/2023
4.9729E+0	5.0128E+0	4.9929E+0	-19.9500E-3	10.0000E-6	-10.0000E-6	927.0432E-6	-917.3841E-6	92.2214E+0	10.0000E-6	-10.0000E-6	-1.2816E-3	1.2780E-3	-127.9806E+0	200.0000E+0	3.7128E-9	200.0000E+0	2.0130E-9	11.9538E+0	11.9569E+0	11.9506E+0	20:51:21	14/03/2023
4.9880E+0	5.0543E+0	5.0212E+0	-33.1500E-3	10.0000E-6	-10.0000E-6	926.4749E-6	-916.5725E-6	92.1524E+0	10.0000E-6	-10.0000E-6	-1.2800E-3	1.2763E-3	-127.8174E+0	200.0000E+0	1.7982E-9	200.0000E+0	-78.3051E-12	11.9371E+0	11.9404E+0	11.9339E+0	20:51:24	14/03/2023
5.0577E+0	4.9643E+0	5.0110E+0	46.7000E-3	10.0000E-6	-10.0000E-6	924.6864E-6	-915.6145E-6	92.0150E+0	10.0000E-6	-10.0000E-6	-1.2783E-3	1.2750E-3	-127.6631E+0	200.0000E+0	-705.2716E-12	200.0000E+0	2.2252E-9	11.9214E+0	11.9256E+0	11.9173E+0	20:51:27	14/03/2023
4.9562E+0	5.0226E+0	4.9894E+0	-33.2000E-3	10.0000E-6	-10.0000E-6	923.3034E-6	-914.2939E-6	91.8799E+0	10.0000E-6	-10.0000E-6	-1.2765E-3	1.2730E-3	-127.4728E+0	200.0000E+0	3.3232E-9	200.0000E+0	2.3080E-9	11.9055E+0	11.9089E+0	11.9021E+0	20:51:31	14/03/2023
5.0356E+0	4.9886E+0	5.0121E+0	23.5000E-3	10.0000E-6	-10.0000E-6	921.9979E-6	-912.4298E-6	91.7214E+0	10.0000E-6	-10.0000E-6	-1.2749E-3	1.2713E-3	-127.3085E+0	200.0000E+0	3.0654E-9	200.0000E+0	1.1282E-9	11.8889E+0	11.8923E+0	11.8855E+0	20:51:34	14/03/2023
