T [K]	T [K]	T_avg [K]	T_err [K]	A_I [A]	A_I [A]	A_V [V]	A_V [V]	A_R [ohm]	B_I [A]	B_I [A]	B_V [V]	B_V [V]	B_R [ohm]	A_Vg [V]	A_Ileak [A]	B_Vg [V]	B_Ileak [A]	B [T]	B1 [T]	B2 [T]	Time	Day
5.0101E+0	5.0559E+0	5.0330E+0	-22.9000E-3	10.0000E-6	-10.0000E-6	888.0244E-6	-881.0099E-6	88.4517E+0	10.0000E-6	-10.0000E-6	-1.4272E-3	1.4234E-3	-142.5323E+0	50.0000E+0	-1.9126E-9	50.0000E+0	-1.1808E-9	11.9998E+0	12.0000E+0	11.9997E+0	09:46:13	14/03/2023
4.9908E+0	5.0101E+0	5.0005E+0	-9.6500E-3	10.0000E-6	-10.0000E-6	887.3316E-6	-879.9827E-6	88.3657E+0	10.0000E-6	-10.0000E-6	-1.4262E-3	1.4227E-3	-142.4444E+0	50.0000E+0	2.4930E-9	50.0000E+0	1.9194E-9	11.9934E+0	11.9962E+0	11.9906E+0	09:46:16	14/03/2023
5.0010E+0	4.9043E+0	4.9527E+0	48.3500E-3	10.0000E-6	-10.0000E-6	886.9558E-6	-878.6868E-6	88.2821E+0	10.0000E-6	-10.0000E-6	-1.4250E-3	1.4211E-3	-142.3060E+0	50.0000E+0	926.0546E-12	50.0000E+0	-342.2760E-12	11.9815E+0	11.9842E+0	11.9788E+0	09:46:20	14/03/2023
4.9427E+0	5.0142E+0	4.9785E+0	-35.7500E-3	10.0000E-6	-10.0000E-6	887.4432E-6	-877.9602E-6	88.2702E+0	10.0000E-6	-10.0000E-6	-1.4236E-3	1.4194E-3	-142.1522E+0	50.0000E+0	1.9712E-9	50.0000E+0	1.5313E-9	11.9683E+0	11.9713E+0	11.9652E+0	09:46:23	14/03/2023
4.9417E+0	4.9912E+0	4.9665E+0	-24.7500E-3	10.0000E-6	-10.0000E-6	885.5363E-6	-877.6484E-6	88.1592E+0	10.0000E-6	-10.0000E-6	-1.4217E-3	1.4172E-3	-141.9474E+0	50.0000E+0	2.2083E-9	50.0000E+0	296.8535E-12	11.9517E+0	11.9559E+0	11.9475E+0	09:46:26	14/03/2023
5.0011E+0	4.9958E+0	4.9985E+0	2.6500E-3	10.0000E-6	-10.0000E-6	883.9466E-6	-875.1009E-6	87.9524E+0	10.0000E-6	-10.0000E-6	-1.4196E-3	1.4158E-3	-141.7694E+0	50.0000E+0	-318.6116E-12	50.0000E+0	1.8037E-9	11.9352E+0	11.9393E+0	11.9311E+0	09:46:30	14/03/2023
4.9816E+0	4.9732E+0	4.9774E+0	4.2000E-3	10.0000E-6	-10.0000E-6	883.3245E-6	-874.6763E-6	87.9000E+0	10.0000E-6	-10.0000E-6	-1.4179E-3	1.4131E-3	-141.5517E+0	50.0000E+0	-778.0177E-12	50.0000E+0	906.2149E-12	11.9217E+0	11.9259E+0	11.9176E+0	09:46:33	14/03/2023
5.0376E+0	4.9961E+0	5.0168E+0	20.7500E-3	10.0000E-6	-10.0000E-6	881.9779E-6	-872.7314E-6	87.7355E+0	10.0000E-6	-10.0000E-6	-1.4162E-3	1.4117E-3	-141.3971E+0	50.0000E+0	2.1854E-9	50.0000E+0	393.8472E-12	11.9034E+0	11.9078E+0	11.8990E+0	09:46:36	14/03/2023
4.9944E+0	5.0120E+0	5.0032E+0	-8.8000E-3	10.0000E-6	-10.0000E-6	879.4190E-6	-871.1341E-6	87.5277E+0	10.0000E-6	-10.0000E-6	-1.4142E-3	1.4096E-3	-141.1881E+0	50.0000E+0	-1.6856E-9	50.0000E+0	1.7706E-9	11.8891E+0	11.8940E+0	11.8842E+0	09:46:40	14/03/2023
4.9938E+0	5.0010E+0	4.9974E+0	-3.6000E-3	10.0000E-6	-10.0000E-6	880.1574E-6	-870.6965E-6	87.5427E+0	10.0000E-6	-10.0000E-6	-1.4116E-3	1.4079E-3	-140.9792E+0	50.0000E+0	889.7072E-12	50.0000E+0	1.1290E-9	11.8731E+0	11.8774E+0	11.8689E+0	09:46:43	14/03/2023
