----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
----------------------------------------------------------------------------------------------------------------------

1656502170.1612611	1.62500	0.000000	44.288950000	-7.67	43.892293677	0.651484000	-11.57	0.638250666
1656502175.3139689	1.62200	0.000000	43.554600000	-7.67	43.164520590	0.636434000	-12.91	0.620356283
1656502177.4567630	1.62400	0.000000	43.478300000	-7.69	43.087687002	0.598582000	-10.65	0.588271094
1656502178.5619929	1.62500	0.000000	43.211300000	-7.64	42.827912343	0.627344000	-13.61	0.609717839
1656502179.6590641	1.62600	0.000000	43.640450000	-7.67	43.250211735	0.665640000	-12.11	0.650832145
1656502180.7604849	1.62700	0.000000	45.280750000	-7.70	44.872674271	0.675772000	-13.22	0.657868851
1656502182.3612299	1.62300	0.000000	43.392500000	-7.70	43.000832495	0.676964000	-10.48	0.665679793
1656502183.4613171	1.62600	0.000000	45.347500000	-7.67	44.941997084	0.700210000	-8.84	0.691896197
1656502184.5683351	1.62300	0.000000	44.565500000	-7.68	44.165743425	0.689332000	-10.82	0.677067870
1656502185.6651440	1.62900	0.000000	45.471500000	-7.67	45.064888261	0.718836000	-10.32	0.707207077
1656502187.2660930	1.62600	0.000000	45.996000000	-7.67	45.584055164	0.753556000	-7.86	0.746476474
1656502188.3629050	1.62900	0.000000	46.634950000	-7.67	46.217934548	0.772778000	-9.80	0.761492360
1656502189.9635091	1.62000	0.000000	44.718100000	-7.70	44.315094943	0.763094000	-12.34	0.745475328
1656502191.0747881	1.62500	0.000000	46.539600000	-7.69	46.120831935	0.835810000	-9.10	0.825299560
1656502192.1647840	1.62400	0.000000	46.625450000	-7.70	46.204601382	0.805710000	-7.02	0.799670036
1656502193.2648489	1.62200	0.000000	46.263050000	-7.67	45.849360124	0.836704000	-7.13	0.830226586
1656502194.8679690	1.62300	0.000000	46.053250000	-7.69	45.638858162	0.803774000	-11.99	0.786244593
1656502195.9631951	1.62700	0.000000	47.254850000	-7.66	46.832951363	0.815844000	-11.42	0.799680739
1656502197.1893239	1.62600	0.001438	46.997350000	-7.71	46.572484539	0.814056000	-8.75	0.804572970
1656502198.2678001	1.62500	0.007190	45.662200000	-7.66	45.255158085	0.847434000	-11.08	0.831649034
1656502200.0995071	1.63500	0.020132	42.047800000	-7.67	41.671215643	0.466408000	-16.59	0.446992565
1656502201.1713080	1.63900	0.027322	43.030100000	-7.68	42.644116102	0.342878000	-14.45	0.332025344
1656502204.7966399	1.64800	0.051768	98.133500000	-7.75	97.238062169	2.184380000	-7.37	2.166343445
1656502208.0802660	1.66000	0.079090	194.570000000	-7.86	192.742049142	4.368740000	-7.42	4.332137103
1656502211.9511030	1.64800	0.099222	254.928000000	-7.93	252.488987894	8.779200000	-6.71	8.718993228
1656502215.0279379	1.65000	0.119354	330.755500000	-8.03	327.514075490	10.921440000	-6.68	10.847342122
1656502218.1190829	1.65200	0.145238	435.831500000	-8.16	431.418951644	15.212380000	-6.49	15.114832928
1656502219.9864450	1.65800	0.152428	474.055000000	-8.20	469.206010685	16.292400000	-6.44	16.189656405
