----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
----------------------------------------------------------------------------------------------------------------------

1656506393.7220130	1.45000	0.000000	17.366500000	-7.61	17.213623814	0.244232000	-27.47	0.216687583
1656506398.9507101	1.44900	0.000000	17.285400000	-7.70	17.129621834	0.224786000	3.77	0.224298538
1656506401.1717861	1.44900	0.000000	17.299750000	-7.70	17.143599746	0.254438000	-1.34	0.254368626
1656506402.2811890	1.44900	0.000000	17.199600000	-7.75	17.042416117	0.259654000	-3.44	0.259185062
1656506404.0640750	1.44900	0.000000	17.323550000	-7.69	17.167670931	0.288636000	4.42	0.287776794
1656506405.6741381	1.44900	0.000000	17.380800000	-7.67	17.225378751	0.222326000	1.34	0.222265381
1656506406.9713199	1.44900	0.000000	17.380800000	-7.67	17.225378751	0.267254000	-8.00	0.264654401
1656506408.0787129	1.44900	0.000000	17.457100000	-7.64	17.302213739	0.260696000	-2.78	0.260388311
1656506409.1794319	1.44900	0.000000	17.438000000	-7.64	17.283040393	0.264198000	-21.80	0.245307523
1656506410.8848829	1.44900	0.000000	17.466600000	-7.63	17.311872469	0.361206000	-19.78	0.339890201
1656506411.9779670	1.44900	0.000000	17.547700000	-7.60	17.393714915	0.334086000	-22.58	0.308467449
1656506413.1857510	1.44900	0.000000	17.538150000	-7.60	17.384005850	0.388178000	-25.19	0.351268564
1656506414.2841699	1.44900	0.000000	17.490450000	-7.62	17.335997322	0.404718000	-17.24	0.386526328
1656506415.9693220	1.44900	0.000000	17.552450000	-7.60	17.398423233	0.436830000	-14.69	0.422543178
1656506417.0753689	1.44900	0.000000	17.552450000	-7.60	17.398423233	0.438916000	-17.47	0.418666079
1656506418.1794260	1.44900	0.000000	17.547700000	-7.60	17.393714915	0.438990000	-21.03	0.409750043
1656506419.2758610	1.44900	0.000000	17.514300000	-7.61	17.359879820	0.424908000	-18.97	0.401840427
1656506420.8835709	1.44900	0.001438	17.566750000	-7.59	17.412840821	0.450836000	-17.07	0.430975251
1656506422.0770299	1.44900	0.010066	17.199600000	-7.75	17.042416117	0.436978000	-9.40	0.431107838
1656506423.1834271	1.44900	0.017256	17.399850000	-7.64	17.245471684	0.432658000	-6.17	0.430148527
1656506424.2881341	1.45000	0.024446	17.695500000	-7.62	17.539236590	0.364782000	-10.91	0.358183998
1656506425.9239290	1.45000	0.035950	18.816050000	-7.64	18.648844603	0.390338000	0.01	0.390337991
1656506426.9939160	1.45100	0.041702	23.298400000	-7.63	23.092335487	0.508206000	3.85	0.507061489
1656506428.7894850	1.45000	0.054644	34.141700000	-7.66	33.837354109	0.896160000	-6.58	0.890264005
1656506431.1083000	1.45000	0.070462	55.323000000	-7.69	54.825973141	1.992890000	-8.21	1.972445640
1656506434.2096701	1.45000	0.090594	89.989500000	-7.73	89.172179670	3.188860000	-7.88	3.158764066
1656506435.7934501	1.45000	0.100660	109.215500000	-7.76	108.215856971	4.368740000	-7.43	4.332018813
1656506441.1102710	1.45000	0.136610	190.164000000	-7.87	188.374718413	8.305940000	-7.49	8.234995018
