----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1656490360.2703891	1.91200	0.130858	921.405000000	-8.75	910.686129758	22.955000000	-3.38	22.915116292
1656490363.9017150	1.90500	0.149552	992.435000000	-8.83	980.683435177	25.158000000	-3.33	25.115521706
1656490364.9738679	1.91400	0.155304	980.380000000	-8.81	968.802663614	25.475200000	-3.42	25.429830332
1656490367.0782571	1.90900	0.165370	1072.545000000	-8.93	1059.550197127	27.256200000	-2.89	27.221486819
1656490368.1733420	1.91200	0.171122	1082.615000000	-8.93	1069.480590140	27.673400000	-3.02	27.634865474
1656490369.7750640	1.90400	0.178312	1115.575000000	-8.97	1101.931645032	28.560400000	-3.05	28.519996729
1656490371.8864560	1.90400	0.189816	1166.845000000	-9.02	1152.402640690	29.528200000	-3.02	29.487082711
1656490372.9741931	1.91200	0.194130	1220.250000000	-9.08	1204.945544347	30.162400000	-2.79	30.126646939
1656490374.0732679	1.90500	0.199882	1228.335000000	-9.10	1212.888498040	30.770400000	-2.71	30.735936755
1656490375.1746960	1.90100	0.205634	1251.080000000	-9.11	1235.285280103	31.249600000	-2.69	31.215063019
1656490376.7760701	1.90700	0.214262	1279.460000000	-9.15	1263.179398431	31.855200000	-2.65	31.821236881
1656490377.9668951	1.90500	0.220014	1304.180000000	-9.19	1287.454285295	32.522800000	-2.59	32.489525726
1656490379.0749431	1.90900	0.224328	1333.015000000	-9.22	1315.807881626	32.952000000	-2.57	32.918907936
1656490380.1773691	1.90700	0.230080	1337.135000000	-9.22	1319.874698933	33.333400000	-2.53	33.301010764
1656490381.7797379	1.90900	0.238708	1385.815000000	-9.28	1367.693143863	34.022400000	-2.47	33.990739392
1656490382.8821530	1.90200	0.244460	1407.480000000	-9.29	1389.003495055	34.466000000	-2.38	34.436219185
1656490384.5766490	1.90700	0.253088	1421.365000000	-9.31	1402.658113740	34.981000000	-2.47	34.948605143
1656490385.6803520	1.90200	0.258840	1450.815000000	-9.35	1431.548155350	35.584200000	-2.27	35.556177566
1656490387.5776579	1.89600	0.267468	1470.040000000	-9.37	1450.442760743	36.022800000	-2.36	35.992297986
1656490391.2096181	1.90000	0.286162	1517.800000000	-9.42	1497.332603582	37.346000000	-2.08	37.321346278
1656490392.2831161	1.90600	0.290476	1565.105000000	-9.47	1543.784556970	37.584400000	-2.14	37.558285329
1656490394.3875160	1.90800	0.301980	1598.825000000	-9.50	1576.879650579	38.366400000	-2.02	38.342511272
1656490395.7189579	1.90300	0.309170	1602.180000000	-9.51	1580.160888219	38.666800000	-1.99	38.643433273
1656490396.7841189	1.90000	0.313484	1612.255000000	-9.52	1590.069521695	38.934000000	-2.00	38.910329866
1656490397.8891840	1.90200	0.319236	1656.960000000	-9.57	1633.900455227	39.391800000	-1.95	39.368988289
1656490399.4925561	1.91200	0.327864	1682.595000000	-9.59	1659.061377707	39.806600000	-1.82	39.786430608
1656490400.5859971	1.90400	0.332178	1673.440000000	-9.59	1650.063621939	40.116600000	-1.84	40.095870410
1656490402.1833911	1.90800	0.340806	1719.675000000	-9.64	1695.412206122	40.555200000	-1.76	40.536111361
1656490403.2854550	1.90900	0.346558	1734.780000000	-9.65	1710.212780042	40.851000000	-1.70	40.832935140
1656490404.9832871	1.90000	0.355186	1752.330000000	-9.67	1727.421839606	41.289600000	-1.58	41.273822140
1656490406.5870199	1.90200	0.362376	1769.115000000	-9.69	1743.874790423	41.633000000	-1.70	41.614589329
1656490407.8785751	1.90300	0.369566	1786.965000000	-9.71	1761.375543126	41.957200000	-1.58	41.941167032
1656490408.9852719	1.91300	0.375318	1822.060000000	-9.75	1795.742272967	42.314800000	-1.52	42.299832083
1656490410.0864739	1.90600	0.379632	1826.180000000	-9.75	1799.802763931	42.672400000	-1.37	42.660130568
1656490411.6904290	1.90500	0.388260	1832.440000000	-9.76	1805.939838030	42.901400000	-1.45	42.887738143
1656490412.7904820	1.89600	0.394012	1849.835000000	-9.77	1822.984710909	43.263800000	-1.36	43.251684300
1656490414.4909501	1.90400	0.402640	1870.430000000	-9.80	1843.114265002	43.468800000	-1.37	43.456410495
1656490415.5890360	1.90800	0.408392	1900.035000000	-9.83	1872.151227817	43.774000000	-1.25	43.763616280
1656490417.1904161	1.89900	0.415582	1891.490000000	-9.82	1863.765428746	44.160200000	-1.19	44.150707664
1656490418.2884910	1.90300	0.421334	1925.210000000	-9.86	1896.784451632	44.308000000	-1.17	44.298762307
1656490419.8955710	1.90800	0.429962	1940.930000000	-9.87	1912.202708450	44.708600000	-1.16	44.699469004
1656490421.4883270	1.89900	0.437152	1949.015000000	-9.88	1920.098030947	45.047200000	-1.06	45.039549178
1656490422.8337450	1.90500	0.444342	1977.395000000	-9.91	1947.879009754	45.328400000	-1.06	45.320613689
1656490424.4032030	1.90600	0.451532	1994.335000000	-9.92	1964.494208617	45.671800000	-0.98	45.665146655
1656490425.8124490	1.90500	0.458722	2007.305000000	-9.95	1977.125059910	45.886400000	-0.85	45.881326824
1656490426.8985560	1.91100	0.464474	2029.125000000	-9.97	1998.506770969	46.062800000	-0.85	46.057707322
1656490427.9966280	1.90800	0.470226	2036.905000000	-9.97	2006.132449404	46.286800000	-0.83	46.281896498
1656490429.5923800	1.90800	0.477416	2052.620000000	-9.99	2021.498268620	46.620600000	-0.81	46.615941293
1656490430.6934471	1.90500	0.483168	2065.590000000	-10.00	2034.196524804	46.797000000	-0.80	46.792392687
1656490432.4930100	1.90500	0.491796	2074.745000000	-10.01	2043.136868571	47.064200000	-0.73	47.060421818
1656490434.0916519	1.90500	0.500424	2092.140000000	-10.03	2060.152468126	47.331200000	-0.58	47.328808262
1656490435.1944571	1.90600	0.506176	2106.335000000	-10.05	2074.015061743	47.526600000	-0.58	47.524148095
1656490436.7912021	1.90500	0.513366	2127.235000000	-10.07	2094.477643735	47.860400000	-0.55	47.858178860
1656490437.9940000	1.90300	0.520556	2134.865000000	-10.07	2101.951055109	48.056000000	-0.44	48.054595834
1656490439.0944209	1.89700	0.524870	2133.035000000	-10.07	2100.149268846	48.127400000	-0.52	48.125402646
1656490440.1941409	1.90700	0.530622	2154.550000000	-10.10	2121.174514099	48.318200000	-0.45	48.316709753
1656490441.7942400	1.90500	0.539250	2173.625000000	-10.12	2139.794203636	48.609000000	-0.40	48.607839006
1656490442.8989360	1.90700	0.545002	2182.625000000	-10.13	2148.613944885	48.866600000	-0.38	48.865536546
1656490444.6143670	1.90000	0.552192	2190.715000000	-10.14	2156.497151147	49.043000000	-0.35	49.042095395
1656490445.6968369	1.90500	0.557944	2214.825000000	-10.16	2180.067041010	49.314800000	-0.26	49.314276509
1656490447.5997760	1.90400	0.568010	2230.540000000	-10.18	2195.452933752	49.477000000	-0.17	49.476787310
1656490449.1991529	1.91100	0.576638	2245.800000000	-10.19	2210.348130981	49.777400000	-0.16	49.777215496
