------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1655837048.1107359	9.98700	5.460700000	-9.63	5.383750994	27.303850000	-2.89	27.269220242	 -42.000	 -0.581
1655837053.4112539	9.98400	10.921450000	-9.63	10.767551283	54.607500000	-2.89	54.537952519	 -42.000	 -1.088
1655837058.8128660	9.97600	27.303850000	-9.63	26.919100037	109.215500000	-2.85	109.080414358	 -42.000	 0.414
1655837064.1127441	9.96600	54.607500000	-9.63	53.838002892	273.047500000	-2.84	272.711195285	 -42.000	 1.244
1655837069.4176080	9.95400	109.215500000	-9.61	107.684142259	546.095000000	-2.84	545.422390569	 -42.000	 1.051
1655837074.7184839	9.94100	273.047500000	-9.61	269.218982959	1092.190000000	-2.85	1090.839100294	 -42.000	 0.125
1655837080.0356779	9.92600	546.095000000	-9.61	538.437965918	1521.160000000	-2.84	1519.286431185	 -42.000	 1.337
1655837083.4861281	9.91600	1092.190000000	-9.61	1076.875931836	1521.005000000	-2.84	1519.131622095	 -42.000	 -1.147
1655837086.7049119	9.90700	1527.110000000	-9.61	1505.697730493	1521.005000000	-2.84	1519.131622095	 -42.000	 -1.063
1655837087.9492381	9.90200	1527.110000000	-9.60	1505.724408171	1521.005000000	-2.85	1519.123710840	 -42.000	 0.196
1655837089.1643541	9.89800	1527.110000000	-9.61	1505.697730493	1521.005000000	-2.84	1519.131622095	 -42.000	 -1.200
1655837090.8604791	9.89300	1527.110000000	-9.61	1505.697730493	1521.005000000	-2.84	1519.131622095	 -42.000	 -0.277
1655837092.0696199	9.88800	1526.955000000	-9.60	1505.571578785	1520.855000000	-2.84	1518.981806845	 -42.000	 -0.952
1655837093.3857501	9.88400	1526.955000000	-9.61	1505.544903815	1521.005000000	-2.85	1519.123710840	 -42.000	 0.793
1655837094.5745840	9.87900	1526.955000000	-9.60	1505.571578785	1521.005000000	-2.84	1519.131622095	 -42.000	 1.241
1655837096.5074301	9.87400	1526.955000000	-9.61	1505.544903815	1520.855000000	-2.84	1518.981806845	 -42.000	 -0.993
1655837097.7501221	9.86800	1526.955000000	-9.61	1505.544903815	1520.855000000	-2.85	1518.973896371	 -42.000	 0.683
1655837099.6893139	9.86300	1526.805000000	-9.61	1505.397007030	1520.855000000	-2.85	1518.973896371	 -42.000	 -0.425
1655837100.8777900	9.85800	1526.805000000	-9.60	1505.423679379	1520.855000000	-2.84	1518.981806845	 -42.000	 -0.615
1655837102.0689709	9.85300	1526.805000000	-9.60	1505.423679379	1520.700000000	-2.84	1518.826997754	 -42.000	 1.058
1655837103.2697711	9.84600	1526.805000000	-9.61	1505.397007030	1520.700000000	-2.84	1518.826997754	 -42.000	 -1.055
1655837105.6939571	9.84200	1526.650000000	-9.60	1505.270849994	1520.550000000	-2.84	1518.677182505	 -42.000	 -1.017
1655837106.8847849	9.83900	1526.650000000	-9.60	1505.270849994	1520.550000000	-2.84	1518.677182505	 -42.000	 -1.059
