------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1655853922.7767529	9.98500	5.460700000	-9.15	5.391214841	27.303850000	-2.43	27.279297480	 56.000	 1.075
1655853928.0766101	9.98300	10.921450000	-9.15	10.782479047	54.607500000	-2.43	54.558395139	 56.000	 -0.107
1655853933.3844481	9.97600	27.303850000	-9.15	26.956419754	109.215500000	-2.41	109.118739192	 56.000	 -1.234
1655853939.1819789	9.96300	54.607500000	-9.15	53.912642052	273.047500000	-2.41	272.805590228	 56.000	 -0.281
1655853944.9815061	9.94900	109.215500000	-9.14	107.829412800	546.095000000	-2.41	545.613584171	 56.000	 0.758
1655853950.7850230	9.93400	273.047500000	-9.14	269.582170950	1092.190000000	-2.41	1091.222360911	 56.000	 1.551
1655853957.0832169	9.91800	546.095000000	-9.14	539.164341900	1102.910000000	-2.41	1101.932863396	 56.000	 0.776
1655853960.8555081	9.90800	1092.190000000	-9.14	1078.328683800	1102.910000000	-2.41	1101.932863396	 56.000	 -0.882
1655853964.0719359	9.89700	1107.640000000	-9.14	1093.582603141	1102.910000000	-2.41	1101.932863396	 56.000	 -0.511
1655853965.2597589	9.89400	1107.490000000	-9.14	1093.434506837	1102.910000000	-2.42	1101.927996696	 56.000	 0.122
1655853966.6786180	9.89000	1107.640000000	-9.14	1093.582603141	1102.755000000	-2.41	1101.782854654	 56.000	 1.286
1655853967.8694401	9.88600	1107.490000000	-9.14	1093.434506837	1102.755000000	-2.42	1101.773134704	 56.000	 -0.752
1655853969.0602691	9.87900	1107.490000000	-9.14	1093.434506837	1102.755000000	-2.41	1101.782854654	 56.000	 -0.210
1655853970.7600830	9.87600	1107.490000000	-9.14	1093.434506837	1102.755000000	-2.41	1101.778000720	 56.000	 -0.116
1655853971.9495521	9.86800	1107.490000000	-9.14	1093.434506837	1102.605000000	-2.41	1101.632986888	 56.000	 1.143
1655853974.1430581	9.86300	1107.335000000	-9.14	1093.281473989	1102.605000000	-2.41	1101.628133615	 56.000	 -1.037
1655853975.5040700	9.85700	1107.335000000	-9.14	1093.281473989	1102.605000000	-2.41	1101.628133615	 56.000	 0.923
1655853976.7417691	9.85300	1107.335000000	-9.14	1093.281473989	1102.450000000	-2.41	1101.473270939	 56.000	 0.147
1655853977.9375780	9.84600	1107.335000000	-9.14	1093.281473989	1102.450000000	-2.41	1101.478123530	 56.000	 -0.651
1655853980.1416969	9.84200	1107.335000000	-9.14	1093.281473989	1102.450000000	-2.41	1101.473270939	 56.000	 0.424
1655853981.4854569	9.83700	1107.185000000	-9.14	1093.133377684	1102.450000000	-2.41	1101.473270939	 56.000	 -0.959
1655853982.6759391	9.83200	1107.185000000	-9.14	1093.133377684	1102.450000000	-2.41	1101.473270939	 56.000	 0.193
1655853983.8687539	9.82500	1107.185000000	-9.14	1093.133377684	1102.450000000	-2.41	1101.473270939	 56.000	 1.099
