------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1655834639.6617341	9.98600	2.730360000	-11.45	2.676040148	10.921450000	-2.98	10.906721000	 -56.000	 0.019
1655834644.9682460	9.98400	5.460700000	-9.71	5.382405957	27.303850000	-2.97	27.267175493	 -56.000	 -1.009
1655834650.2724781	9.97600	10.921450000	-9.71	10.764861198	54.607500000	-2.98	54.533854664	 -56.000	 -1.157
1655834655.7429111	9.96400	27.303850000	-9.71	26.912857064	109.215500000	-2.93	109.072920645	 -56.000	 -0.194
1655834661.4892581	9.94900	54.607500000	-9.71	53.824552406	273.047500000	-2.92	272.692499277	 -56.000	 -0.275
1655834667.8556559	9.93500	109.215500000	-9.68	107.659231741	546.095000000	-2.93	545.382080379	 -56.000	 0.587
1655834673.7685549	9.91800	273.047500000	-9.68	269.156704670	1092.190000000	-2.93	1090.764160758	 -56.000	 -0.604
1655834679.6349339	9.90000	546.095000000	-9.68	538.313409340	1585.095000000	-2.93	1583.025679961	 -56.000	 0.960
1655834683.3653560	9.88900	1092.190000000	-9.68	1076.626818679	1585.095000000	-2.92	1583.034150255	 -56.000	 -1.207
1655834686.6456211	9.87700	1591.195000000	-9.68	1568.521237833	1584.940000000	-2.93	1582.870882311	 -56.000	 -0.386
1655834687.8374510	9.87500	1591.195000000	-9.68	1568.521237833	1584.940000000	-2.92	1582.879351777	 -56.000	 -0.203
1655834689.0282660	9.86900	1591.195000000	-9.68	1568.521237833	1584.940000000	-2.92	1582.879351777	 -56.000	 1.014
1655834690.7214141	9.86400	1591.195000000	-9.68	1568.521237833	1584.940000000	-2.93	1582.862395487	 -56.000	 -0.434
1655834691.9262080	9.85800	1591.045000000	-9.68	1568.373375261	1584.785000000	-2.93	1582.716084662	 -56.000	 -1.116
1655834693.6250360	9.85400	1591.195000000	-9.68	1568.521237833	1584.785000000	-2.92	1582.724553299	 -56.000	 -0.663
1655834694.8204961	9.84800	1591.045000000	-9.68	1568.373375261	1584.785000000	-2.93	1582.707598668	 -56.000	 0.571
1655834696.5249591	9.84400	1590.890000000	-9.68	1568.220583936	1584.785000000	-2.93	1582.716084662	 -56.000	 0.047
1655834697.7197759	9.83800	1590.890000000	-9.68	1568.220583936	1584.785000000	-2.93	1582.716084662	 -56.000	 -0.866
1655834699.4186080	9.83200	1590.890000000	-9.68	1568.220583936	1584.635000000	-2.93	1582.566280485	 -56.000	 -1.142
1655834700.6201060	9.82500	1590.890000000	-9.68	1568.220583936	1584.635000000	-2.93	1582.566280485	 -56.000	 -1.025
1655834702.8172071	9.82000	1590.890000000	-9.68	1568.220583936	1584.635000000	-2.93	1582.566280485	 -56.000	 -0.869
1655834704.0170109	9.81300	1590.890000000	-9.68	1568.220583936	1584.635000000	-2.92	1582.574748321	 -56.000	 0.699
1655834705.7218239	9.80900	1590.890000000	-9.68	1568.220583936	1584.635000000	-2.92	1582.574748321	 -56.000	 -1.216
