------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1653748405.3639190	305.11000	95873.500000000	-0.43	95870.774860380	7128.950000000	-1.18	7127.448415747
1653748407.0544150	305.14000	95873.500000000	-0.43	95870.774860380	7128.200000000	-1.18	7126.698573721
1653748408.3579500	304.95000	95873.500000000	-0.43	95870.774860380	7128.200000000	-1.18	7126.698573721
1653748410.0554280	304.99000	95873.500000000	-0.43	95870.774860380	7127.425000000	-1.18	7125.923736961
1653748412.2545750	304.85000	95844.900000000	-0.43	95842.175673315	7127.425000000	-1.18	7125.923736961
1653748413.4550231	304.89000	95844.900000000	-0.43	95842.175673315	7126.675000000	-1.18	7125.173894935
1653748415.1548600	305.05000	95844.900000000	-0.43	95842.175673315	7126.675000000	-1.18	7125.158539006
1653748416.9547019	305.08000	95835.300000000	-0.43	95832.575946189	7125.900000000	-1.18	7124.399058175
1653748418.1555040	305.04000	95806.700000000	-0.43	95803.976759125	7125.900000000	-1.18	7124.399058175
1653748419.8691249	305.00000	95797.200000000	-0.43	95794.477029156	7125.150000000	-1.18	7123.649216149
1653748422.0562999	304.94000	95787.600000000	-0.43	95784.877302029	7125.150000000	-1.18	7123.649216149
1653748423.3648181	305.07000	95768.600000000	-0.43	95765.877842091	7124.375000000	-1.18	7122.874379388
1653748425.0563121	305.12000	95740.000000000	-0.43	95737.278655027	7123.625000000	-1.18	7122.124537362
1653748427.2588000	305.10000	95740.000000000	-0.43	95737.278655027	7123.625000000	-1.18	7122.124537362
1653748428.4642341	305.02000	95740.000000000	-0.43	95737.278655027	7122.850000000	-1.18	7121.334352915
1653748430.1610701	304.90000	95740.000000000	-0.43	95737.278655027	7122.850000000	-1.18	7121.349700602
1653748432.0799849	304.81000	95740.000000000	-0.43	95737.278655027	7122.075000000	-1.18	7120.574863842
1653748433.2618370	304.76000	95730.400000000	-0.43	95727.678927901	7122.075000000	-1.18	7120.574863842
1653748435.1015821	304.97000	95730.400000000	-0.43	95727.678927901	7121.325000000	-1.18	7119.825021816
1653748436.7655220	304.87000	95730.400000000	-0.43	95727.678927901	7120.550000000	-1.18	7119.050185055
1653748438.0730259	304.91000	95720.900000000	-0.43	95718.179197932	7120.550000000	-1.18	7119.050185055
1653748439.7681539	304.86000	95711.400000000	-0.43	95708.679467963	7120.550000000	-1.18	7119.050185055
1653748441.0700459	304.75000	95711.400000000	-0.43	95708.679467963	7119.025000000	-1.18	7117.525506269
1653748442.7645271	304.91000	95701.800000000	-0.43	95699.079740836	7119.025000000	-1.18	7117.525506269
1653748444.4665101	304.94000	95701.800000000	-0.43	95699.079740836	7118.275000000	-1.18	7116.775664243
1653748446.6686430	304.82000	95692.300000000	-0.43	95689.580010867	7117.500000000	-1.18	7116.000827483
1653748447.8737819	304.72000	95692.300000000	-0.43	95689.580010867	7117.500000000	-1.18	7116.000827483
1653748449.5762501	304.66000	95692.300000000	-0.43	95689.580010867	7116.750000000	-1.18	7115.250985457
1653748450.7740610	304.64000	95692.300000000	-0.43	95689.580010867	7116.750000000	-1.17	7115.266241973
1653748452.4645531	304.77000	95692.300000000	-0.43	95689.580010867	7115.975000000	-1.17	7114.491403551
1653748454.1696630	304.79000	95692.300000000	-0.43	95689.580010867	7115.975000000	-1.17	7114.491403551
1653748455.3713391	304.65000	95692.300000000	-0.43	95689.580010867	7115.225000000	-1.18	7113.726306670
1653748457.0751531	304.62000	95692.300000000	-0.43	95689.580010867	7114.450000000	-1.18	7112.951469910
