----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
----------------------------------------------------------------------------------------------------------------------

1657321212.3381031	1.58700	0.000000	22.773900000	-7.62	22.572790833	8.775040000	172.33	-8.696572514	0.200381400
1657321213.6073639	1.58700	0.000000	21.605650000	-7.65	21.413354257	8.479400000	172.59	-8.408585717	-1.037317000
1657321214.8530419	1.59100	0.000000	24.471450000	-7.67	24.252281214	8.968160000	172.51	-8.891681119	-0.907530200
1657321216.2177570	1.59000	0.000000	21.352900000	-7.67	21.161661264	8.825100000	172.38	-8.747168310	0.328183600
1657321217.9471519	1.58800	0.000000	23.684650000	-7.62	23.475498285	9.044440000	172.28	-8.962422121	1.367126000
1657321219.3115101	1.58700	0.000000	22.525950000	-7.72	22.321677469	8.720200000	172.75	-8.650404713	1.000610000
1657321221.0475309	1.58900	0.000000	22.025250000	-7.63	21.830445962	8.181380000	172.52	-8.111833763	1.487101000
1657321222.4361660	1.58800	0.000000	25.639700000	-7.67	25.410426653	9.360360000	172.46	-9.279382724	0.248461800
1657321224.1532481	1.58600	0.000000	23.203050000	-7.64	22.997183410	8.987220000	172.48	-8.909840932	1.243279000
1657321225.4428079	1.58500	0.000000	23.403300000	-7.71	23.191729478	8.845360000	172.21	-8.763646981	1.520967000
1657321227.1532471	1.58500	0.000000	23.870600000	-7.62	23.659806219	9.224460000	172.21	-9.139375822	0.135326600
1657321228.4318430	1.59200	0.000000	24.843350000	-7.64	24.622930023	9.042060000	172.48	-8.964332702	1.546345000
1657321230.1526079	1.58800	0.000000	26.860400000	-7.64	26.622083962	10.545320000	172.52	-10.455678970	-0.455093000
1657321231.5319309	1.59100	0.000000	26.602900000	-7.66	26.365385179	9.999340000	172.43	-9.912146301	1.027761000
1657321233.2503390	1.58500	0.000000	25.677850000	-7.66	25.448952548	11.001900000	172.39	-10.904898386	-0.094287520
1657321234.5508840	1.58800	0.000000	26.230950000	-7.70	25.994553429	10.124520000	172.73	-10.043082610	-0.697400400
1657321236.3161759	1.58800	0.000000	27.342000000	-7.64	27.099411017	10.408240000	172.46	-10.318340426	1.256009000
1657321237.5339291	1.58200	0.000000	25.391750000	-7.61	25.168228053	9.807420000	172.36	-9.720404711	-0.526166300
1657321239.2689481	1.58400	0.000000	24.352200000	-7.63	24.136476517	8.906160000	172.42	-8.828252783	1.005184000
1657321240.5305870	1.59400	0.004314	26.626750000	-7.64	26.390506996	9.632140000	172.48	-9.549208235	-0.124488400
1657321242.2533481	1.58900	0.008628	12.984350000	-7.67	12.868242347	7.677120000	172.72	-7.615266663	1.039050000
1657321243.5335801	1.59200	0.014380	3.399870000	-7.83	3.368171802	3.584640000	172.19	-3.551372370	0.042791180
1657321247.2815940	1.59900	0.025884	28.131150000	-7.63	27.882341854	7.319480000	172.49	-7.256660580	1.190748000
1657321248.5352471	1.59600	0.030198	44.436750000	-7.67	44.038769965	13.346740000	172.51	-13.232739149	1.094794000
1657321249.7453749	1.59800	0.034512	54.607500000	-7.70	54.114604148	17.275880000	172.34	-17.121638261	0.109082100
1657321252.9967029	1.59600	0.044578	109.215500000	-7.79	108.206572359	21.842800000	172.33	-21.647478999	1.354150000
1657321258.2842560	1.59700	0.063272	215.732000000	-7.91	213.677335993	28.388600000	172.31	-28.133156483	0.130588400
1657321260.0459030	1.59500	0.069024	238.353000000	-7.94	236.069122702	28.460200000	172.22	-28.198497133	-0.847252900
1657321263.4624491	1.59600	0.080528	290.605000000	-8.00	287.774027864	26.321600000	172.24	-26.080679948	1.305244000
1657321264.6705849	1.59600	0.083404	304.910000000	-8.02	301.926320608	25.682600000	172.32	-25.452224750	1.388467000
1657321265.9348609	1.59400	0.087718	328.467000000	-8.05	325.228759278	25.153400000	172.07	-24.913109341	1.229600000
1657321267.2623210	1.59500	0.093470	338.270500000	-8.06	334.930646333	24.144800000	172.14	-23.917963859	0.242405400
1657321269.0458660	1.59800	0.099222	376.417500000	-8.11	372.656674041	23.031400000	171.99	-22.806700212	-0.220571400
1657321270.3843200	1.59700	0.103536	388.415000000	-8.12	384.517080802	22.111000000	171.99	-21.895279852	0.994306100
1657321272.1373219	1.59600	0.109288	407.145000000	-8.14	403.041021450	20.826000000	172.08	-20.627349652	-0.473057000
1657321273.5495591	1.59300	0.113602	417.177500000	-8.16	412.953812883	19.929560000	172.15	-19.742895675	-0.768185500
1657321275.2789490	1.59200	0.119354	439.455500000	-8.19	434.973541378	18.692100000	171.93	-18.506997699	0.433202800
1657321276.5625269	1.59500	0.123668	452.730500000	-8.20	448.099633630	17.862400000	171.92	-17.685251281	-0.840906400
1657321280.2995651	1.59400	0.136610	496.180000000	-8.27	491.022833316	15.022820000	171.68	-14.864634022	-1.049513000
1657321281.5502310	1.59100	0.140924	495.417000000	-8.26	490.282674026	14.324260000	171.67	-14.172995129	-0.749315200
1657321282.7570119	1.59800	0.143800	522.580000000	-8.29	517.116914896	13.239460000	171.67	-13.099851551	-0.303181100
1657321283.9757640	1.59400	0.148114	526.775000000	-8.29	521.268060095	12.252400000	171.59	-12.120585198	1.398561000
1657321285.2922540	1.59400	0.152428	541.840000000	-8.32	536.142790068	11.582440000	171.61	-11.458541560	-0.836457100
1657321287.0439451	1.59500	0.158180	553.630000000	-8.33	547.783640712	10.418960000	171.40	-10.301867562	-0.949392500
1657321288.3773811	1.59600	0.162494	567.590000000	-8.34	561.587604237	9.388960000	171.45	-9.284615781	-0.622454800
