-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653951413.1805878	-130.0	1.85638e-10	2353.2200000000003	2.112	2351.6214511134212
1653951415.3109462	-129.0	-1.219978e-09	2345.285	2.112	2343.691841380976
1653951417.4090338	-128.0	-1.293527e-09	2337.045	2.118	2335.448406817813
1653951419.5154557	-127.0	-2.886924e-10	2329.415	2.118	2327.8236193858124
1653951421.6138992	-126.0	3.708403e-10	2321.175	2.118	2319.589248685985
1653951423.8140724	-125.0	3.905348e-10	2313.2400000000002	2.124	2311.6507042514145
1653951425.9118686	-124.0	-1.153641e-09	2305.6150000000002	2.13	2304.0219818724513
1653951428.0089638	-123.0	-7.048499e-10	2297.68	2.13	2296.0924644004717
1653951430.1177359	-122.0	-8.593218e-10	2289.745	2.124	2288.1718463307543
1653951432.2158196	-121.0	-1.077084e-09	2282.1150000000002	2.136	2280.529323966782
1653951434.3136213	-120.0	-1.14025e-09	2274.1800000000003	2.13	2272.6087012509424
1653951436.4107063	-119.0	-3.789283e-10	2266.5499999999997	2.13	2264.9839730453714
1653951438.689672	-118.0	-1.233246e-09	2258.92	2.136	2257.350440488338
1653951440.8213823	-117.0	7.693859e-10	2251.29	2.142	2249.7169427375748
1653951442.9194705	-116.0	-9.826857e-10	2243.965	2.142	2242.3970609784265
1653951445.0182612	-115.0	1.307564e-09	2236.34	2.136	2234.786129691043
1653951447.1147122	-114.0	-3.516512e-10	2228.71	2.148	2227.1439847431916
1653951449.2121627	-113.0	1.017421e-09	2221.69	2.142	2220.1376253217677
1653951451.326206	-112.0	1.641586e-09	2214.06	2.148	2212.5042786457234
1653951453.4236503	-111.0	1.613694e-09	2207.04	2.148	2205.4892112870734
1653951455.5220945	-110.0	4.919738e-10	2199.7149999999997	2.148	2198.169358238339
1653951457.6185403	-109.0	-9.434602e-10	2192.39	2.154	2190.840888068683
1653951459.8496275	-108.0	-5.362027e-10	2185.375	2.154	2183.8308447689956
1653951461.9441283	-107.0	5.91484e-11	2178.05	2.154	2176.511020510947
1653951464.0419326	-106.0	-1.052404e-09	2170.725	2.154	2169.1911962528984
1653951466.1390193	-105.0	-6.443213e-10	2164.01	2.16	2162.4724116889615
1653951468.2374616	-104.0	5.511807e-10	2156.9900000000002	2.16	2155.4573995910246
1653951470.334273	-103.0	2.248624e-10	2149.67	2.16	2148.1426006512957
1653951472.4293811	-102.0	-3.571319e-10	2142.65	2.166	2141.1191199736886
1653951474.75522	-101.0	-1.040702e-09	2136.2400000000002	2.166	2134.713699788856
1653951476.854658	-100.0	4.618139e-10	2129.22	2.16	2127.7071309357952
1653951478.9521024	-99.0	6.232425e-10	2122.2	2.166	2120.68373108448
1653951481.0505462	-98.0	1.700342e-09	2115.49	2.172	2113.9701408283336
1653951483.1479905	-97.0	1.572904e-09	2108.775	2.172	2107.259965173681
1653951485.248426	-96.0	-5.826389e-10	2102.06	2.172	2100.5497895190274
1653951487.345229	-95.0	-9.327877e-10	2095.3450000000003	2.178	2093.831286329187
1653951489.4436855	-94.0	3.757432e-10	2088.635	2.178	2087.1261337498895
1653951491.541753	-93.0	1.421898e-09	2081.92	2.172	2080.4242589628525
1653951493.6407504	-92.0	-1.901418e-11	2075.205	2.178	2073.7058358154673
1653951495.8229108	-91.0	-7.999557e-11	2068.4900000000002	2.178	2066.995686848257
1653951497.9206998	-90.0	9.062578e-10	2062.3849999999998	2.184	2060.886878064021
1653951500.0177984	-89.0	1.39483e-09	2055.6749999999997	2.184	2054.181752225824
1653951502.1421738	-88.0	-4.586579e-10	2049.2650000000003	2.184	2047.7764084668318
1653951504.2406197	-87.0	1.083632e-09	2042.855	2.184	2041.3710647078385
1653951506.3401933	-86.0	1.124094e-09	2036.4499999999998	2.184	2034.9707173168324
1653951508.4458282	-85.0	1.440852e-09	2029.735	2.19	2028.252483844637
1653951510.774016	-84.0	-5.677234e-10	2023.325	2.19	2021.8471657014097
1653951512.8724499	-83.0	-4.79754e-10	2017.22	2.19	2015.746624786526
1653951514.9715474	-82.0	9.373241e-10	2010.815	2.196	2009.3382452988121
1653951517.0719838	-81.0	9.04033e-10	2004.71	2.19	2003.2457620764203
1653951519.1684294	-80.0	-1.033993e-10	1998.3000000000002	2.196	1996.8324363905265
1653951521.2682126	-79.0	-2.696648e-11	1992.195	2.202	1990.7239150297942
1653951523.3671913	-78.0	8.843802e-10	1986.095	2.196	1984.636399816365
1653951525.6322355	-77.0	1.004772e-09	1979.38	2.202	1977.9183779357313
1653951527.753616	-76.0	3.803991e-10	1973.5800000000002	2.202	1972.1226607960073
1653951529.8510573	-75.0	-7.150768e-11	1967.175	2.202	1965.7223904029152
1653951531.9514942	-74.0	7.074182e-10	1961.07	2.208	1959.613997147713
1653951534.0502374	-73.0	1.500183e-09	1955.27	2.208	1953.8183033767327
1653951536.1483777	-72.0	1.711273e-12	1949.165	2.208	1947.7178360540022
1653951538.2508078	-71.0	1.746198e-09	1942.76	2.214	1941.309742616178
1653951540.349583	-70.0	-6.153637e-11	1936.96	2.214	1935.5140722774981
1653951542.4487026	-69.0	-8.180774e-10	1930.855	2.208	1929.4214303735448
1653951544.5461462	-68.0	1.452562e-11	1924.45	2.22	1923.0056149431389
1653951546.8550403	-67.0	1.763092e-09	1918.65	2.22	1917.2099681003162
1653951548.9513314	-66.0	1.406407e-09	1912.8500000000001	2.22	1911.4143212574936
1653951551.048775	-65.0	1.718839e-09	1907.055	2.22	1905.623670661949
1653951553.1495767	-64.0	-8.484034e-10	1900.645	2.22	1899.2184816511742
1653951555.2464697	-63.0	8.887067e-10	1894.845	2.226	1893.4151380088629
1653951557.3445888	-62.0	3.257243e-10	1889.05	2.226	1887.6245109524223
1653951559.440394	-61.0	1.024507e-09	1883.25	2.226	1881.828887669013
1653951561.7591584	-60.0	1.155816e-09	1877.145	2.226	1875.7284945405281
1653951563.8636727	-59.0	1.727698e-09	1871.345	2.232	1869.9252494077666
1653951565.9617596	-58.0	1.463315e-10	1865.55	2.226	1864.1422442006783
1653951568.0602007	-57.0	-4.814432e-10	1859.4450000000002	2.232	1858.0342776906582
1653951570.1590016	-56.0	1.658975e-09	1853.645	2.238	1852.2311079595834
1653951572.265104	-55.0	3.243233e-10	1847.8500000000001	2.232	1846.4480745763833
1653951574.3635485	-54.0	-7.912129e-10	1842.0500000000002	2.238	1840.6449521979403
1653951576.513851	-53.0	-7.79922e-10	1836.25	2.238	1834.8493762240262
1653951578.612289	-52.0	9.895689e-10	1830.76	2.238	1829.3635637935456
1653951580.7117267	-51.0	1.162988e-09	1824.655	2.238	1823.2632204623828
1653951582.8390934	-50.0	4.225564e-11	1818.855	2.244	1817.460196565385
1653951584.9355752	-49.0	1.011817e-09	1813.06	2.244	1811.6696405072626
1653951587.0333388	-48.0	1.139749e-09	1807.5649999999998	2.244	1806.178854391752
1653951589.16933	-47.0	2.609962e-10	1801.7649999999999	2.244	1800.3833021679193
1653951591.2671106	-46.0	5.859959e-10	1795.97	2.244	1794.592746109797
