T [K]	T [K]	T_avg [K]	T_err [K]	A_I [A]	A_I [A]	A_V [V]	A_V [V]	A_R [ohm]	B_I [A]	B_I [A]	B_V [V]	B_V [V]	B_R [ohm]	A_Vg [V]	A_Ileak [A]	B_Vg [V]	B_Ileak [A]	B [T]	B1 [T]	B2 [T]	Time	Day
5.0061E+0	5.0034E+0	5.0047E+0	1.3500E-3	10.0000E-6	-10.0000E-6	693.7110E-6	-751.1085E-6	72.2410E+0	10.0000E-6	-10.0000E-6	-1.9515E-3	1.9325E-3	-194.2025E+0	-100.0000E+0	4.0299E-9	-100.0000E+0	1.4022E-9	12.0002E+0	12.0003E+0	12.0001E+0	21:40:52	13/03/2023
5.0296E+0	5.0009E+0	5.0152E+0	14.3500E-3	10.0000E-6	-10.0000E-6	816.9744E-6	-846.1271E-6	83.1551E+0	10.0000E-6	-10.0000E-6	-1.9391E-3	1.9297E-3	-193.4368E+0	-100.0000E+0	651.5435E-12	-100.0000E+0	339.2427E-12	11.9998E+0	12.0000E+0	11.9997E+0	22:40:53	13/03/2023
4.9569E+0	5.0345E+0	4.9957E+0	-38.8000E-3	10.0000E-6	-10.0000E-6	819.4325E-6	-841.5116E-6	83.0472E+0	10.0000E-6	-10.0000E-6	-1.9381E-3	1.9282E-3	-193.3158E+0	-100.0000E+0	-543.6481E-12	-100.0000E+0	-146.7920E-12	11.9942E+0	11.9974E+0	11.9909E+0	22:40:56	13/03/2023
5.0646E+0	5.0078E+0	5.0362E+0	28.4000E-3	10.0000E-6	-10.0000E-6	815.0380E-6	-841.4701E-6	82.8254E+0	10.0000E-6	-10.0000E-6	-1.9361E-3	1.9269E-3	-193.1522E+0	-100.0000E+0	-209.6903E-12	-100.0000E+0	-1.4519E-9	11.9847E+0	11.9882E+0	11.9813E+0	22:40:59	13/03/2023
4.9623E+0	4.9482E+0	4.9552E+0	7.0500E-3	10.0000E-6	-10.0000E-6	815.8434E-6	-835.4809E-6	82.5662E+0	10.0000E-6	-10.0000E-6	-1.9345E-3	1.9246E-3	-192.9549E+0	-100.0000E+0	-1.1172E-9	-100.0000E+0	349.6775E-12	11.9695E+0	11.9727E+0	11.9663E+0	22:41:03	13/03/2023
5.0019E+0	5.0214E+0	5.0116E+0	-9.7500E-3	10.0000E-6	-10.0000E-6	812.5739E-6	-840.3481E-6	82.6461E+0	10.0000E-6	-10.0000E-6	-1.9321E-3	1.9227E-3	-192.7388E+0	-100.0000E+0	-818.0993E-12	-100.0000E+0	-973.0321E-12	11.9560E+0	11.9601E+0	11.9520E+0	22:41:06	13/03/2023
4.9654E+0	4.9101E+0	4.9377E+0	27.6500E-3	10.0000E-6	-10.0000E-6	811.6489E-6	-838.5186E-6	82.5084E+0	10.0000E-6	-10.0000E-6	-1.9299E-3	1.9202E-3	-192.5068E+0	-100.0000E+0	-525.1454E-12	-100.0000E+0	1.0604E-9	11.9390E+0	11.9440E+0	11.9339E+0	22:41:09	13/03/2023
4.9779E+0	5.0466E+0	5.0122E+0	-34.3500E-3	10.0000E-6	-10.0000E-6	809.1165E-6	-834.0162E-6	82.1566E+0	10.0000E-6	-10.0000E-6	-1.9275E-3	1.9178E-3	-192.2665E+0	-100.0000E+0	667.4093E-12	-100.0000E+0	-1.3775E-9	11.9224E+0	11.9272E+0	11.9176E+0	22:41:13	13/03/2023
4.9241E+0	4.9718E+0	4.9480E+0	-23.8500E-3	10.0000E-6	-10.0000E-6	810.4533E-6	-830.9703E-6	82.0712E+0	10.0000E-6	-10.0000E-6	-1.9249E-3	1.9151E-3	-191.9969E+0	-100.0000E+0	-576.4918E-12	-100.0000E+0	-1.8309E-9	11.9079E+0	11.9121E+0	11.9037E+0	22:41:16	13/03/2023
5.0189E+0	4.9718E+0	4.9954E+0	23.5500E-3	10.0000E-6	-10.0000E-6	812.0109E-6	-834.0412E-6	82.3026E+0	10.0000E-6	-10.0000E-6	-1.9226E-3	1.9126E-3	-191.7646E+0	-100.0000E+0	-676.8355E-12	-100.0000E+0	-86.2343E-12	11.8919E+0	11.8969E+0	11.8869E+0	22:41:19	13/03/2023
