------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1700225572.8124821	8.00800	13889.400000000	6.58	13798.019181915	136.519250000	4.06	136.177323191	 5.000	 0.023
1700225576.0847881	8.00500	13889.400000000	6.58	13798.019181915	273.037500000	4.06	272.351625010	 5.000	 0.019
1700225579.2988429	7.99300	13889.400000000	6.58	13798.019181915	546.077500000	4.06	544.705743740	 5.000	 0.017
1700225583.5079920	7.98700	13889.400000000	6.57	13798.185676485	957.065000000	4.06	954.660835931	 5.000	 0.023
1700225584.7473209	7.97800	13888.400000000	6.57	13797.192243675	957.065000000	4.06	954.660835931	 5.000	 0.024
1700225585.9541020	7.97500	13889.400000000	6.57	13798.185676485	957.065000000	4.06	954.660835931	 5.000	 0.021
1700225587.1552491	7.97000	13888.400000000	6.57	13797.192243675	957.017500000	4.06	954.613455251	 5.000	 0.024
1700225588.3547051	7.96300	13886.500000000	6.57	13795.304721335	956.780000000	4.06	954.376551856	 5.000	 0.020
1700225590.5528460	7.95800	13887.500000000	6.58	13796.131682351	956.685000000	4.06	954.281790497	 5.000	 0.024
1700225591.7539859	7.95100	13887.500000000	6.56	13796.464474647	956.637500000	4.06	954.234409818	 5.000	 0.021
1700225593.4559810	7.94300	13887.500000000	6.57	13796.298154146	956.637500000	4.06	954.234409818	 5.000	 0.022
1700225594.6537931	7.93100	13887.500000000	6.56	13796.464474647	956.590000000	4.07	954.179928001	 5.000	 0.020
1700225596.3608799	7.92600	13887.500000000	6.56	13796.464474647	956.590000000	4.07	954.179928001	 5.000	 0.022
1700225597.5536990	7.92200	13886.500000000	6.56	13795.471029860	956.590000000	4.07	954.179928001	 5.000	 0.018
1700225599.2545760	7.91600	13887.500000000	6.56	13796.464474647	956.590000000	4.07	954.179928001	 5.000	 0.022
1700225600.4517331	7.90100	13887.500000000	6.56	13796.464474647	956.397500000	4.07	953.987912993	 5.000	 0.018
1700225602.1528521	7.89900	13886.500000000	6.56	13795.471029860	956.255000000	4.07	953.845772013	 5.000	 0.023
1700225603.3569200	7.88700	13885.600000000	6.57	13794.410631806	956.207500000	4.07	953.798391687	 5.000	 0.023
1700225605.5597720	7.88000	13874.100000000	6.57	13782.986154487	956.207500000	4.07	953.798391687	 5.000	 0.020
1700225606.7575879	7.87200	13875.100000000	6.57	13783.979587297	956.207500000	4.07	953.798391687	 5.000	 0.024
1700225608.4610479	7.85900	13872.200000000	6.58	13780.932343756	956.160000000	4.07	953.751011360	 5.000	 0.025
1700225609.6562300	7.84900	13871.300000000	6.58	13780.038265015	956.112500000	4.07	953.703631034	 5.000	 0.017
1700225611.3613000	7.84500	13871.300000000	6.58	13780.038265015	955.922500000	4.07	953.514109727	 5.000	 0.019
1700225612.5620980	7.83600	13871.300000000	6.58	13780.038265015	955.777500000	4.07	953.369475046	 5.000	 0.020
1700225614.2695489	7.82800	13871.300000000	6.58	13780.038265015	955.777500000	4.07	953.369475046	 5.000	 0.025
