------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1700224150.7028770	8.00900	14390.100000000	6.55	14296.114033658	136.519250000	3.74	136.228818859	 4.000	 0.018
1700224154.0020850	8.00700	14390.100000000	6.55	14296.114033658	273.037500000	3.74	272.456639846	 4.000	 0.020
1700224157.2653890	7.99600	14386.200000000	6.56	14292.067526092	546.077500000	3.74	544.915774373	 4.000	 0.019
1700224161.4805140	7.98500	14374.800000000	6.56	14280.570119183	1027.447500000	3.74	1025.261707523	 4.000	 0.015
1700224162.6640000	7.97600	14374.800000000	6.56	14280.570119183	1027.352500000	3.74	1025.166909626	 4.000	 0.020
1700224163.8498509	7.97700	14374.800000000	6.56	14280.570119183	1027.352500000	3.74	1025.166909626	 4.000	 0.020
1700224165.0430241	7.97100	14374.800000000	6.56	14280.570119183	1027.352500000	3.74	1025.166909626	 4.000	 0.019
1700224166.2414801	7.96300	14374.800000000	6.56	14280.570119183	1027.305000000	3.74	1025.119510678	 4.000	 0.017
1700224168.4401979	7.95500	14374.800000000	6.56	14280.570119183	1027.305000000	3.74	1025.119510678	 4.000	 0.018
1700224169.6440470	7.94700	14374.800000000	6.56	14280.570119183	1027.305000000	3.74	1025.119510678	 4.000	 0.014
1700224171.3418789	7.94400	14374.800000000	6.56	14280.570119183	1027.305000000	3.74	1025.119510678	 4.000	 0.020
1700224172.5483079	7.93200	14374.800000000	6.56	14280.570119183	1027.112500000	3.74	1024.927420202	 4.000	 0.019
1700224174.2403131	7.92800	14374.800000000	6.56	14280.570119183	1026.970000000	3.74	1024.778206497	 4.000	 0.020
1700224175.4440980	7.92400	14374.800000000	6.56	14280.570119183	1026.922500000	3.74	1024.737824408	 4.000	 0.018
1700224177.1455669	7.91300	14374.800000000	6.56	14280.570119183	1026.922500000	3.74	1024.730807873	 4.000	 0.016
1700224178.3447270	7.90000	14372.900000000	6.56	14278.682574088	1026.875000000	3.74	1024.690425460	 4.000	 0.015
1700224180.5484951	7.89100	14371.900000000	6.56	14277.689129302	1026.875000000	3.74	1024.690425460	 4.000	 0.021
1700224181.7502930	7.88400	14371.900000000	6.56	14277.689129302	1026.922500000	3.74	1024.730807873	 4.000	 0.021
1700224183.4477661	7.88300	14371.900000000	6.56	14277.689129302	1026.922500000	3.74	1024.730807873	 4.000	 0.019
1700224184.6516559	7.87000	14371.900000000	6.56	14277.689129302	1026.540000000	3.74	1024.356138139	 4.000	 0.020
1700224186.3454990	7.86000	14371.900000000	6.56	14277.689129302	1026.492500000	3.74	1024.308739191	 4.000	 0.019
1700224187.5512850	7.85500	14371.900000000	6.56	14277.689129302	1026.540000000	3.74	1024.349124217	 4.000	 0.019
1700224189.2546051	7.84500	14371.900000000	6.56	14277.689129302	1026.492500000	3.74	1024.308739191	 4.000	 0.019
1700224190.4537630	7.83600	14371.900000000	6.56	14277.689129302	1026.397500000	3.74	1024.213941294	 4.000	 0.016
