----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701254397.5131490	4.99400	0.171122	1510.325000000	-7.00	1499.060840578	721.517000000	-110.11	-248.098216865	0.007231327
1701254399.2395360	4.99900	0.179750	1510.782500000	-7.01	1499.476323046	723.233000000	-110.15	-249.114936426	0.000473656
1701254400.4596381	4.99800	0.185502	1511.850000000	-6.96	1500.709163152	723.081000000	-110.13	-248.849306688	0.005665503
1701254402.2202060	4.99600	0.194130	1511.850000000	-7.00	1500.593758651	722.966000000	-110.15	-249.022969262	0.006530863
1701254403.4306149	5.00100	0.201320	1512.002500000	-7.03	1500.648490534	724.454000000	-110.18	-249.962789198	0.003316868
1701254405.1509111	4.99800	0.209948	1512.307500000	-7.04	1500.893011376	728.688000000	-110.27	-252.426108233	0.004388212
1701254406.3586869	5.00500	0.215700	1512.765000000	-7.04	1501.366476900	726.056000000	-110.22	-250.943666837	0.011969920
1701254408.1166310	5.00000	0.224328	1513.530000000	-7.04	1502.106284276	726.666000000	-110.23	-251.297306363	0.007766999
1701254409.3177769	5.00200	0.230080	1513.987500000	-7.02	1502.637969536	725.255000000	-110.20	-250.453004216	0.009209140
1701254411.5478179	4.99800	0.241584	1514.750000000	-7.03	1503.355947742	725.484000000	-110.21	-250.603382383	0.006572094
1701254412.7565889	4.99400	0.247336	1515.207500000	-7.03	1503.810006396	724.835000000	-110.20	-250.307965214	0.010816190
1701254414.5175271	5.00300	0.255964	1515.665000000	-7.01	1504.322284094	723.462000000	-110.18	-249.549403759	0.003522866
1701254415.7302849	5.00400	0.261716	1516.275000000	-7.02	1504.908321409	723.577000000	-110.18	-249.589071608	0.006201231
1701254417.4437060	5.00600	0.270344	1516.580000000	-7.04	1505.152731282	726.628000000	-110.24	-251.426954429	0.009744861
1701254418.6558230	4.99300	0.277534	1517.190000000	-7.04	1505.738659584	725.942000000	-110.24	-251.118259649	0.004182175
1701254420.3634479	5.00000	0.286162	1517.647500000	-7.03	1506.231652550	726.209000000	-110.24	-251.210620438	0.006572031
1701254421.6151021	4.99900	0.291914	1518.412500000	-7.00	1507.088023169	725.179000000	-110.21	-250.569291124	0.004388167
1701254423.3488250	5.00400	0.300542	1518.717500000	-7.04	1507.254630427	726.323000000	-110.25	-251.392779248	0.007725792
1701254424.5581551	4.99300	0.306294	1518.870000000	-7.05	1507.386465890	727.239000000	-110.27	-251.924157561	0.003976094
1701254426.2609539	5.00200	0.314922	1519.632500000	-7.00	1508.318315271	729.260000000	-110.28	-252.767529073	0.002245509
1701254427.5126181	5.00000	0.320674	1520.395000000	-6.98	1509.133241055	729.337000000	-110.28	-252.794217908	0.002327995
1701254429.2479939	4.99800	0.330740	1520.852500000	-7.01	1509.470962627	729.756000000	-110.30	-253.226154966	0.005129862
1701254430.4613791	4.98400	0.336492	1521.767500000	-6.96	1510.553581001	729.871000000	-110.29	-253.122688955	0.007931832
1701254432.2256629	5.00100	0.345120	1521.920000000	-6.95	1510.724261442	730.405000000	-110.30	-253.451358698	0.002204275
1701254433.4354320	5.00100	0.350872	1522.685000000	-6.94	1511.522211961	729.909000000	-110.29	-253.135867533	0.008261464
1701254435.1541951	4.99000	0.359500	1522.990000000	-6.97	1511.747738023	730.138000000	-110.32	-253.502121872	0.009580014
1701254436.3596239	4.98900	0.365252	1522.837500000	-7.02	1511.421625960	731.587000000	-110.36	-254.579887973	0.005830360
1701254438.1249061	4.99800	0.373880	1522.990000000	-7.07	1511.396884804	731.168000000	-110.36	-254.434083068	0.011104580
1701254439.3400190	4.99300	0.381070	1523.905000000	-7.04	1512.402976578	729.070000000	-110.32	-253.131314892	0.014565820
1701254441.1252451	5.00100	0.389698	1524.362500000	-7.05	1512.837439419	729.032000000	-110.32	-253.118121386	0.003481680
1701254442.3326650	4.99800	0.395450	1524.972500000	-7.04	1513.462419376	730.023000000	-110.34	-253.748940567	0.000926960
1701254444.5577259	5.00300	0.406954	1525.277500000	-7.07	1513.686634408	731.816000000	-110.38	-254.875101317	0.001792230
1701254445.7678471	4.99100	0.412706	1525.735000000	-7.06	1514.179944216	731.778000000	-110.38	-254.861866769	0.003605252
1701254447.5277891	5.00300	0.421334	1526.040000000	-7.07	1514.423667973	731.587000000	-110.39	-254.867159425	0.009497601
1701254448.7435400	4.99500	0.427086	1526.500000000	-7.07	1514.880166419	731.244000000	-110.39	-254.747666547	0.008137848
1701254450.4613030	4.99800	0.435714	1527.110000000	-7.07	1515.505208902	731.702000000	-110.39	-254.979044800	0.002327912
1701254451.6677251	5.00500	0.442904	1527.415000000	-7.08	1515.768494966	731.893000000	-110.41	-255.189276750	0.006819295
1701254453.3725231	4.98900	0.450094	1528.025000000	-7.08	1516.373843729	732.999000000	-110.42	-255.790720788	0.009126772
1701254454.5799429	4.99100	0.457284	1528.330000000	-7.08	1516.676518111	733.609000000	-110.44	-256.219558343	0.005624348
1701254456.3336101	4.99300	0.465912	1528.940000000	-7.06	1517.340995194	732.770000000	-110.42	-255.710807889	0.007973042
1701254457.5403869	4.99900	0.471664	1529.702500000	-7.05	1518.137065936	730.786000000	-110.38	-254.444637579	0.003069583
1701254459.2569971	4.99400	0.480292	1529.855000000	-7.07	1518.209627905	732.083000000	-110.42	-255.399223624	0.006201203
1701254460.4637721	4.99100	0.486044	1530.160000000	-7.08	1518.492564402	732.999000000	-110.44	-255.934583297	0.003893687
1701254462.1670971	4.99600	0.494672	1530.772500000	-7.07	1519.120143825	734.143000000	-110.45	-256.550132827	0.009167941
1701254463.3762219	4.99200	0.500424	1530.772500000	-7.10	1519.021228632	736.661000000	-110.51	-258.080460724	0.004882664
1701254465.1341691	4.99500	0.509052	1531.382500000	-7.10	1519.646370101	735.326000000	-110.49	-257.396377715	0.010733780
1701254466.3403039	4.98500	0.514804	1531.992500000	-7.08	1520.311091631	733.647000000	-110.46	-256.448785217	0.006530818
1701254468.5533941	4.99700	0.526308	1532.450000000	-7.10	1520.705689050	736.012000000	-110.50	-257.780899607	0.005747958
1701254469.7591629	5.00100	0.532060	1533.060000000	-7.09	1521.350656050	734.372000000	-110.47	-256.846309635	0.009415205
1701254471.4775810	4.99200	0.540688	1533.517500000	-7.09	1521.784843201	735.936000000	-110.51	-257.898646924	0.008343885
1701254472.6837449	4.99200	0.547878	1533.822500000	-7.09	1522.087509703	735.021000000	-110.50	-257.433811691	0.001174203
1701254474.4404099	5.00000	0.556506	1534.127500000	-7.10	1522.350473326	736.241000000	-110.52	-258.077738432	0.010981020
1701254475.6441791	4.99500	0.562258	1534.890000000	-7.07	1523.206301103	733.571000000	-110.47	-256.494191091	0.000885757
1701254477.3677700	4.99600	0.570886	1535.502500000	-7.06	1523.873470684	733.037000000	-110.45	-256.163635309	0.004841381
1701254478.5701931	4.99200	0.576638	1535.655000000	-7.09	1523.925835725	734.906000000	-110.50	-257.393534082	0.008426274
1701254480.3318470	4.99900	0.585266	1535.960000000	-7.11	1524.149005561	736.394000000	-110.53	-258.275808608	0.010527750
1701254481.5455971	4.99200	0.591018	1536.417500000	-7.10	1524.622893697	737.042000000	-110.54	-258.647636135	0.005995190
1701254483.2650130	4.99400	0.599646	1537.027500000	-7.08	1525.307699869	739.179000000	-110.57	-259.759949742	0.004676613
1701254484.4747860	4.99100	0.606836	1537.332500000	-7.07	1525.650026235	739.636000000	-110.58	-259.993060196	0.009374036
1701254486.2340810	4.99700	0.615464	1538.247500000	-7.02	1526.716105677	738.988000000	-110.56	-259.547921725	0.010610170
1701254487.4487231	4.98800	0.621216	1538.247500000	-7.07	1526.558072981	737.119000000	-110.55	-258.746937872	0.006036404
1701254489.1671209	4.99300	0.629844	1538.247500000	-7.13	1526.359025471	739.675000000	-110.61	-260.369310398	0.003110807
1701254490.3735459	4.98800	0.635596	1538.400000000	-7.12	1526.530328920	741.429000000	-110.63	-261.277396339	0.010486550
