----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701364587.9733310	5.00300	0.033074	863.957500000	9.01	853.292424483	13.451700000	-39.39	10.396070250	0.025444050
1701364589.1847520	4.99700	0.038826	863.957500000	9.01	853.306591680	13.404000000	-39.67	10.317214608	0.022436110
1701364590.9344349	5.00700	0.047454	864.110000000	9.01	853.443041955	13.322900000	-40.10	10.191270880	0.026474200
1701364592.1472130	5.00300	0.053206	864.262500000	9.01	853.607831626	13.275200000	-40.28	10.126971953	0.021282350
1701364594.3749239	5.00500	0.064710	864.415000000	9.01	853.744276900	13.198900000	-40.58	10.023944310	0.022188870
1701364595.5847011	5.00300	0.070462	864.567500000	9.01	853.894894372	13.165500000	-40.71	9.979719051	0.029523370
1701364597.3513520	5.00900	0.079090	864.720000000	9.01	854.059691545	13.108300000	-40.96	9.899560859	0.022106500
1701364598.5557840	5.00000	0.084842	864.872500000	9.01	854.210311518	13.079700000	-41.06	9.861783609	0.025238050
1701364600.2722120	5.01300	0.093470	865.025000000	9.01	854.360931490	13.060600000	-41.37	9.801421683	0.026309380
1701364601.4849801	5.00500	0.100660	865.177500000	9.01	854.511551463	13.046300000	-41.48	9.774419642	0.018562820
1701364603.1888011	5.00100	0.109288	865.482500000	9.00	854.826974239	12.974800000	-41.76	9.678437174	0.018439210
1701364604.4401100	5.00000	0.115040	865.635000000	9.01	854.963411382	12.960500000	-41.81	9.659630599	0.023878280
1701364606.1714940	5.00100	0.123668	865.787500000	9.01	855.114031355	12.912800000	-42.01	9.595175635	0.022477320
1701364607.3876281	5.00300	0.129420	865.940000000	9.01	855.264651328	12.874700000	-42.15	9.545180282	0.026556620
1701364609.1495619	5.00200	0.138048	866.092500000	9.01	855.415271301	12.812700000	-42.41	9.460400330	0.018974880
1701364610.3613510	4.99300	0.143800	866.245000000	9.00	855.580086599	12.765000000	-42.65	9.389037522	0.022271280
1701364612.0821099	5.00400	0.152428	866.552500000	9.00	855.883800764	12.722100000	-43.14	9.283126603	0.026020960
1701364613.2896399	5.00400	0.159618	866.705000000	9.00	856.034423236	12.703000000	-43.21	9.259177801	0.028987700
1701364615.0512030	4.99900	0.168246	867.010000000	9.00	856.335668179	12.669600000	-43.36	9.212092792	0.022683330
1701364616.2636080	4.99500	0.173998	867.162500000	9.01	856.472080291	12.631500000	-43.52	9.158923431	0.018604020
1701364617.9833980	5.00300	0.182626	867.467500000	9.00	856.787535595	12.588600000	-43.70	9.100537009	0.023837080
1701364619.1898100	5.00000	0.188378	867.620000000	9.00	856.938158067	12.536100000	-44.00	9.018019643	0.024784800
1701364620.8916321	4.99800	0.197006	867.772500000	9.00	857.088780539	12.517000000	-44.38	8.945805398	0.022518470
1701364622.1034019	5.00000	0.202758	867.925000000	9.00	857.239403011	12.464600000	-44.60	8.875425352	0.023919470
1701364624.3603899	4.99800	0.214262	868.077500000	8.99	857.404241435	12.426500000	-44.78	8.819925588	0.017862330
1701364625.5708110	5.00000	0.220014	868.382500000	9.00	857.691270427	12.393100000	-44.95	8.771500321	0.022436090
1701364627.2802570	5.00200	0.228642	868.687500000	8.99	858.006741313	12.340600000	-45.19	8.697748295	0.021323560
1701364628.4870400	5.00100	0.234394	868.840000000	8.99	858.157366282	12.302500000	-45.36	8.644351253	0.017862330
1701364630.2038219	4.99200	0.243022	868.992500000	8.99	858.307991251	12.302500000	-45.73	8.588257669	0.016296500
1701364631.4511471	4.99700	0.250212	869.297500000	8.99	858.623467706	12.278600000	-45.85	8.553141447	0.021117530
