----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
----------------------------------------------------------------------------------------------------------------------

1701289468.5576539	4.99200	-0.000000	749.365000000	9.32	739.477052667	10.585900000	-31.87	8.990447349	0.027669050
1701289469.8043399	4.99200	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.73	9.039785243	0.022806860
1701289471.0294349	4.99600	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.72	9.040955916	0.025444010
1701289472.2428541	4.98400	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.72	9.040955916	0.020458120
1701289474.5002079	4.99900	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.73	9.039785243	0.030677040
1701289475.7216060	4.99400	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.72	9.040955916	0.025320370
1701289477.4300640	5.00000	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.72	9.040955916	0.023136470
1701289478.6398449	4.98200	-0.000000	749.365000000	9.32	739.477052667	10.647800000	-31.66	9.063560601	0.024125380
1701289480.4011641	4.99500	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.72	9.040955916	0.026927360
1701289481.6172831	4.99300	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.71	9.042126193	0.026020820
1701289483.3343649	4.99500	-0.000000	749.365000000	9.32	739.477052667	10.633500000	-31.70	9.046709822	0.022312350
1701289484.5501311	4.99900	-0.000000	749.517500000	9.31	739.640244861	10.628800000	-31.72	9.040955916	0.027133390
1701289486.3004799	4.99500	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.72	9.040955916	0.024867080
1701289487.5102630	4.99300	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.72	9.040955916	0.028781590
1701289489.2330489	4.99100	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.72	9.040955916	0.020169680
1701289490.4448140	4.99900	-0.000000	749.365000000	9.32	739.477052667	10.662200000	-31.60	9.081672930	0.023507320
1701289492.2111230	4.98600	-0.000000	749.365000000	9.32	739.477052667	10.666900000	-31.57	9.088016399	0.023260090
1701289493.4205551	4.99600	-0.000000	749.365000000	9.32	739.477052667	10.662200000	-31.61	9.080502758	0.023754560
1701289495.1409750	4.98900	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.72	9.040955916	0.025237940
1701289496.3491240	4.99000	-0.000000	749.365000000	9.32	739.477052667	10.628800000	-31.72	9.040955916	0.027875080
1701289498.1124339	4.99400	-0.000000	749.365000000	9.32	739.477052667	10.657400000	-31.58	9.078753712	0.022930400
1701289499.3192260	4.98900	-0.000000	749.365000000	9.32	739.477052667	10.619200000	-31.55	9.049704942	0.020499310
1701289501.5243630	5.00000	0.004314	749.365000000	9.32	739.477052667	10.614500000	-31.65	9.035798472	0.024001770
1701289502.7291639	5.00300	0.010066	749.365000000	9.32	739.477052667	10.628800000	-31.73	9.039785243	0.020169700
1701289504.4479511	4.99900	0.018694	749.517500000	9.31	739.640244861	10.581100000	-31.88	8.984615404	0.023960560
