----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
----------------------------------------------------------------------------------------------------------------------

1701267262.7534001	4.98900	0.000000	1220.860000000	6.67	1212.606630491	56.534100000	-73.16	16.374154634	0.008097429
1701267267.2839320	4.99600	0.000000	1220.555000000	6.67	1212.288848653	56.763000000	-73.00	16.594000240	0.008509478
1701267270.5262721	5.00700	0.000000	1220.707500000	6.67	1212.440315854	56.763000000	-73.00	16.594000240	0.014442890
1701267271.7593341	4.98900	0.000000	1220.860000000	6.67	1212.591783055	56.705800000	-73.16	16.429568264	0.013000740
1701267272.9667549	4.98700	0.000000	1220.402500000	6.67	1212.137381452	56.705800000	-73.16	16.429568264	0.016461910
1701267274.1874909	4.99800	0.000000	1220.860000000	6.67	1212.591783055	56.705800000	-73.16	16.429568264	0.012588720
1701267275.3942699	4.98800	0.000000	1220.860000000	6.67	1212.591783055	56.705800000	-73.16	16.429568264	0.009045157
1701267277.6554050	4.99600	0.000000	1220.707500000	6.67	1212.440315854	56.705800000	-73.16	16.429568264	0.010198860
1701267278.8689899	4.98800	0.000000	1220.707500000	6.68	1212.425456976	56.705800000	-73.16	16.429568264	0.014236850
1701267280.5947170	4.99700	0.000000	1220.555000000	6.68	1212.273991631	56.705800000	-73.16	16.429568264	0.012053030
1701267281.8055091	4.98700	0.000000	1220.860000000	6.68	1212.576922320	56.705800000	-73.16	16.429568264	0.012794670
1701267283.5095911	4.99700	0.000000	1220.707500000	6.68	1212.425456976	56.743900000	-73.03	16.565684637	0.012712300
1701267284.7576001	4.99300	0.000000	1220.860000000	6.67	1212.591783055	56.743900000	-73.10	16.497471388	0.014566500
1701267286.4916279	4.99900	0.000000	1220.707500000	6.68	1212.425456976	56.763000000	-73.00	16.599684684	0.011064100
1701267287.6937780	4.98500	0.000000	1220.707500000	6.67	1212.440315854	56.763000000	-73.00	16.599684684	0.015679020
1701267289.4068410	4.99400	0.000000	1220.555000000	6.68	1212.273991631	56.724800000	-73.11	16.480550755	0.016173470
1701267290.6664779	4.99200	0.001438	1220.860000000	6.68	1212.576922320	56.743900000	-73.04	16.548633773	0.013495240
1701267292.3939869	4.99500	0.008628	1220.860000000	6.67	1212.591783055	56.705800000	-73.16	16.429568264	0.017904030
1701267293.5926609	5.00200	0.015818	1220.860000000	6.67	1212.591783055	56.705800000	-73.16	16.429568264	0.013371570
1701267295.2954669	4.99800	0.024446	1221.012500000	6.67	1212.743250255	56.801100000	-73.36	16.263511802	0.017739250
1701267296.5138581	4.99900	0.030198	1220.860000000	6.67	1212.591783055	56.782100000	-73.38	16.240979075	0.009086339
1701267298.2671750	4.99200	0.038826	1221.165000000	6.67	1212.894717456	56.782100000	-73.38	16.240979075	0.012794680
1701267299.4812880	4.99800	0.044578	1221.165000000	6.67	1212.894717456	56.763000000	-73.54	16.081662720	0.014607720
1701267301.6992459	5.00300	0.056082	1221.622500000	6.67	1213.349119059	56.763000000	-73.57	16.058858672	0.011105350
