----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
----------------------------------------------------------------------------------------------------------------------

1701300576.3284299	4.99600	-0.000000	521.090000000	9.88	513.368101326	5.788840000	-23.51	5.308149860	0.036363360
1701300579.6056809	4.99800	-0.000000	521.090000000	9.88	513.368101326	5.750690000	-23.68	5.266417631	0.035786480
1701300580.8144519	4.98900	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.77	5.254303749	0.028575500
1701300582.0275791	4.99200	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.72	5.255998369	0.033478960
1701300583.2280121	4.99400	-0.000000	521.090000000	9.88	513.368101326	5.772150000	-23.64	5.287768546	0.025691080
1701300584.9903080	4.99300	-0.000000	521.090000000	9.88	513.368101326	5.743540000	-23.80	5.255269249	0.028410670
1701300586.2034249	5.00100	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.78	5.253819054	0.030924210
1701300587.9244781	4.99700	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.77	5.254303749	0.032366400
1701300589.1262701	4.99000	-0.000000	521.090000000	9.88	513.368101326	5.738770000	-23.73	5.253568523	0.034426690
1701300590.8829401	4.99200	-0.000000	521.090000000	9.88	513.368101326	5.738770000	-23.73	5.253568523	0.036116130
1701300592.0907111	4.99600	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.79	5.253334128	0.035992510
1701300594.3187540	4.99100	-0.000000	521.090000000	9.88	513.368101326	5.743540000	-23.78	5.255754492	0.030841780
1701300595.5281820	4.98400	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.81	5.252606307	0.033272930
1701300597.2888269	4.99300	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.76	5.254546011	0.030058880
1701300598.5026059	4.99000	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.79	5.253334128	0.030676960
1701300600.2240090	4.99500	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.78	5.253819054	0.033602580
1701300601.4297960	4.99900	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.79	5.253334128	0.032572430
1701300603.1887360	4.99200	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.76	5.254546011	0.032572440
1701300606.1920700	4.99700	-0.000000	521.090000000	9.88	513.368101326	5.741160000	-23.78	5.253819054	0.037764360
1701300607.3968620	5.00100	-0.000000	521.090000000	9.88	513.368101326	5.731620000	-23.83	5.242908508	0.026762460
1701300609.1282370	4.99700	0.002876	521.090000000	9.88	513.368101326	5.741160000	-23.80	5.253091578	0.030429730
1701300610.3396490	5.00100	0.010066	521.090000000	9.88	513.368101326	5.741160000	-23.80	5.253091578	0.029482000
1701300612.1003029	5.00400	0.018694	521.090000000	9.88	513.368101326	5.686320000	-24.04	5.193015015	0.030759380
1701300613.3130701	5.00200	0.024446	521.242500000	9.88	513.518341468	5.641020000	-24.26	5.142701651	0.033314150
1701300615.0351181	5.00000	0.033074	521.395000000	9.88	513.668581609	5.574260000	-24.55	5.070503201	0.037434710
