-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
-----------------------------------------------------------------------------------

1653841076.686786	-140.0	6.880846e-10	2133.035	2.142	2131.544571757633
1653841080.7848775	-139.0	4.089598e-11	2127.695	2.142	2126.2083030076196
1653841085.1087208	-138.0	-8.88727e-10	2122.05	2.142	2120.5672473720715
1653841089.205813	-137.0	-3.033557e-10	2116.4025	2.142	2114.923693483363
1653841093.3039086	-136.0	7.492271e-10	2110.7575	2.142	2109.282637847815
1653841097.4508603	-135.0	1.122511e-09	2105.1125	2.148	2103.6333312017723
1653841101.5699036	-134.0	-7.082587e-10	2099.62	2.148	2098.144690536902
1653841105.668633	-133.0	1.185836e-09	2094.125	2.148	2092.6535516286713
1653841109.768076	-132.0	5.317667e-10	2088.785	2.148	2087.317303808843
1653841113.8771236	-131.0	5.994193e-10	2083.2925	2.154	2081.8204748273924
1653841118.0749457	-130.0	7.790976e-10	2077.9525	2.154	2076.4842479962686
1653841122.1730537	-129.0	3.735545e-10	2072.61	2.154	2071.1455229316102
1653841126.2711484	-128.0	-1.038295e-09	2067.4224999999997	2.154	2065.9616883461317
1653841130.3808439	-127.0	-2.236688e-10	2062.0825	2.16	2060.617333966388
1653841134.4799316	-126.0	1.203141e-09	2056.895	2.16	2055.4335198270646
1653841138.5770292	-125.0	4.122834e-10	2051.5525000000002	2.16	2050.094815819483
1653841142.6744676	-124.0	-1.350366e-09	2046.365	2.16	2044.9110016801594
1653841146.7885203	-123.0	-5.490488e-10	2041.1774999999998	2.166	2039.7191200196453
1653841151.0647821	-122.0	-6.579078e-10	2035.99	2.166	2034.5353263833242
1653841155.1618738	-121.0	9.927256e-10	2030.8025	2.166	2029.3515327470031
1653841159.2599645	-120.0	-5.483071e-10	2025.615	2.166	2024.167739110682
1653841163.38997	-119.0	-5.122551e-10	2020.5775	2.172	2019.1258300580778
1653841167.4890573	-118.0	-1.572907e-10	2015.3899999999999	2.172	2013.942056981605
1653841171.5864873	-117.0	1.136806e-09	2010.355	2.172	2008.9106743425614
1653841175.6855907	-116.0	-5.181884e-10	2005.32	2.172	2003.8792917035175
1653841179.794297	-115.0	-3.811059e-10	1999.98	2.172	1998.5431281896163
1653841184.0559535	-114.0	1.042991e-09	1994.9425	2.178	1993.501318841415
1653841188.1520467	-113.0	-1.381847e-09	1989.9075	2.178	1988.469956212985
1653841192.247147	-112.0	1.181427e-09	1984.72	2.178	1983.2862037532075
1653841196.3482294	-111.0	-3.795812e-10	1979.8374999999999	2.178	1978.407230956125
1653841200.4712548	-110.0	-2.118025e-10	1974.65	2.178	1973.2234784963475
1653841204.5683482	-109.0	4.529078e-10	1969.615	2.184	1968.184266438161
1653841208.6654398	-108.0	1.259009e-09	1964.5774999999999	2.184	1963.1504256915266
1653841212.8047757	-107.0	4.976941e-10	1959.5425	2.184	1958.1190831288857
1653841217.018206	-106.0	1.032939e-09	1954.5075000000002	2.184	1953.087740566245
1653841221.113305	-105.0	-1.121237e-09	1949.4724999999999	2.184	1948.0563980036036
1653841225.2103965	-104.0	1.084274e-09	1944.59	2.19	1943.1696736566314
