-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653837769.8819597	39.0	1.709766e-09	808.5675	2.49	807.8040662403521
1653837771.9790616	40.0	-5.260222e-10	808.1875	2.472	807.4354158568001
1653837774.0801218	41.0	5.984872e-11	807.8825	2.502	807.1123442953754
1653837776.178528	42.0	-5.27094e-10	808.1875	2.502	807.417053538378
1653837778.277279	43.0	-4.614569e-10	807.8825	2.472	807.1306996840849
1653837780.375739	44.0	-6.117258e-10	807.4225	2.496	806.65646949363
1653837782.474276	45.0	1.220252e-09	807.73	2.508	806.9562927410223
1653837784.5696883	46.0	-5.437824e-10	807.73	2.484	806.9710273764283
1653837786.6661925	47.0	-4.434915e-10	807.195	2.478	806.4401891921432
1653837788.7640038	48.0	-4.941321e-10	807.1175	2.508	806.3443794416476
1653837790.8873372	49.0	1.065824e-09	806.965	2.484	806.2067461983825
1653837792.9861407	50.0	-3.702324e-10	807.0425	2.508	806.2694512825406
1653837795.0963917	51.0	-4.017529e-10	807.0425	2.472	806.2914813723445
1653837797.1946712	52.0	1.383903e-09	806.66	2.496	805.8946929045593
1653837799.293407	53.0	2.501621e-09	806.965	2.508	806.1920255181299
1653837801.393207	54.0	2.006708e-09	806.89	2.478	806.1354743986873
1653837803.49064	55.0	1.02512e-09	806.355	2.484	805.5973193766727
1653837805.5897233	56.0	1.240976e-09	806.5849999999999	2.508	805.8123895119871
1653837807.6923566	57.0	9.206836e-11	806.66	2.484	805.9020327875276
1653837809.842973	58.0	1.112509e-09	806.2025000000001	2.478	805.4486172822909
1653837811.943017	59.0	-3.204174e-10	806.2025000000001	2.508	805.4302559005412
1653837814.0419412	60.0	3.773896e-10	806.355	2.496	805.5899822689311
1653837816.1424072	61.0	-2.319948e-10	805.975	2.478	805.2213300183197
1653837818.2408092	62.0	2.259313e-09	805.8975	2.508	805.1255480535056
1653837820.3840942	63.0	-3.202937e-10	805.8975	2.508	805.1255480535056
1653837822.484504	64.0	1.793859e-09	806.1274999999999	2.484	805.3700331439858
1653837824.582779	65.0	5.090285e-10	805.5925	2.478	804.8391876953791
1653837826.7190838	66.0	2.253915e-09	805.5925	2.478	804.8391876953791
1653837828.816847	67.0	-2.207051e-10	805.515	2.502	804.7471012369858
1653837831.097485	68.0	2.024755e-09	805.67	2.472	804.9202585951257
1653837833.1958869	69.0	-6.652157e-11	805.2099999999999	2.496	804.4460685712446
1653837835.2936442	70.0	2.329275e-09	805.515	2.508	804.7434144420592
1653837837.414005	71.0	1.010091e-10	805.135	2.49	804.374807140314
1653837839.5124204	72.0	2.321984e-09	805.3625000000001	2.508	804.5910605185416
1653837841.6248193	73.0	2.579326e-09	805.135	2.478	804.3821155051953
1653837843.7255936	74.0	1.958501e-09	805.135	2.508	804.3637784359166
1653837846.0530782	75.0	7.13677e-10	805.2874999999999	2.49	804.5271631527701
1653837848.1507328	76.0	1.119225e-09	804.9050000000001	2.478	804.1523305789827
1653837850.249135	77.0	8.840866e-10	804.83	2.508	804.0590705888811
1653837852.3485358	78.0	2.239043e-09	805.135	2.496	804.371139726418
1653837854.4539177	79.0	4.862445e-10	804.6775	2.484	803.9213956169709
1653837856.5508444	80.0	2.442455e-09	804.6775	2.508	803.9067166653634
1653837858.647131	81.0	7.678164e-10	804.9050000000001	2.496	804.1413579356165
1653837860.746281	82.0	1.152763e-09	804.6	2.472	803.8512543170755
1653837862.8469071	83.0	2.911134e-10	804.3725000000001	2.502	803.6056903840989
1653837864.945343	84.0	1.276121e-09	804.6775	2.502	803.9103996271016
1653837867.142834	85.0	2.515304e-09	804.7524999999999	2.496	803.9890026178023
1653837869.2412384	86.0	1.395728e-09	804.3725000000001	2.478	803.6203285215557
1653837871.3411639	87.0	1.540768e-10	804.1425	2.502	803.375909643474
1653837873.4395738	88.0	1.517727e-09	804.4475	2.502	803.6806188864766
1653837875.5369804	89.0	2.651555e-09	804.295	2.478	803.5429009920709
1653837877.6374876	90.0	1.724116e-10	803.9150000000001	2.496	803.1522971839051
1653837879.7438662	91.0	2.408381e-09	804.295	2.496	803.5319366643599
1653837882.031245	92.0	8.70418e-11	803.9150000000001	2.508	803.1449470477746
1653837884.1280153	93.0	2.53207e-09	804.2199999999999	2.502	803.4533357625975
1653837886.227415	94.0	1.423417e-09	803.9150000000001	2.478	803.1632563313719
1653837888.3258128	95.0	9.977312e-11	803.61	2.496	802.8475865482768
1653837890.4245734	96.0	2.612908e-09	803.9150000000001	2.508	803.1449470477746
1653837892.543567	97.0	6.355688e-11	803.5325	2.496	802.7701600752893
1653837894.6483307	98.0	2.363885e-09	803.9150000000001	2.502	803.148626519595
1653837896.7549706	99.0	9.529357e-10	803.4575	2.478	802.706184141188
1653837898.8537283	100.0	-1.242132e-11	803.4575	2.508	802.6878852772212
1653837900.951201	101.0	2.454115e-09	803.7624999999999	2.496	802.9999418660908
1653837903.0984745	102.0	2.430469e-09	803.61	2.478	802.858541537916
1653837905.1957543	103.0	7.388517e-10	803.2275	2.484	802.4727580899558
1653837907.2947204	104.0	6.83765e-10	803.3800000000001	2.508	802.6104595128106
1653837909.4289703	105.0	2.413781e-09	803.2275	2.508	802.4581055892928
1653837911.5253792	106.0	2.202953e-09	803.4575	2.496	802.6952312304626
1653837913.6560557	107.0	1.012306e-09	803.3800000000001	2.508	802.6104595128106
1653837915.7544565	108.0	2.403026e-09	803.3800000000001	2.484	802.6251147953834
1653837917.9914896	109.0	2.497471e-10	803.3025	2.502	802.5367104168437
