----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
----------------------------------------------------------------------------------------------------------------------

1701353442.1638820	5.01000	-0.000000	1081.242500000	7.94	1070.882130297	28.667600000	-61.35	13.744906155	0.018109540
1701353445.4108410	4.99700	-0.000000	1081.242500000	7.94	1070.882130297	28.677100000	-61.36	13.744189945	0.023672210
1701353446.6136270	4.99500	-0.000000	1081.242500000	7.94	1070.882130297	28.677100000	-61.36	13.744189945	0.011599100
1701353447.8167710	4.98800	-0.000000	1081.090000000	7.94	1070.715450998	28.677100000	-61.36	13.744189945	0.016172860
1701353449.0730600	4.99700	-0.000000	1081.090000000	7.94	1070.715450998	28.677100000	-61.36	13.744189945	0.022147610
1701353450.8067801	4.98500	-0.000000	1081.242500000	7.94	1070.866487550	28.677100000	-61.36	13.744189945	0.017862300
1701353452.0225439	4.99400	-0.000000	1081.242500000	7.94	1070.866487550	28.677100000	-61.36	13.744189945	0.015925660
1701353453.7864640	4.98900	-0.000000	1081.090000000	7.94	1070.715450998	28.677100000	-61.36	13.744189945	0.021859180
1701353454.9975989	4.99000	-0.000000	1081.242500000	7.94	1070.866487550	28.677100000	-61.36	13.744189945	0.014236230
1701353456.7186279	4.99500	-0.000000	1081.242500000	7.94	1070.866487550	28.677100000	-61.36	13.744189945	0.017079410
1701353457.9267609	4.99100	-0.000000	1081.242500000	7.94	1070.866487550	28.677100000	-61.36	13.744189945	0.023837060
1701353459.6860530	4.99700	-0.000000	1081.090000000	7.94	1070.715450998	28.677100000	-61.36	13.744189945	0.019057270
1701353460.8998129	4.99300	-0.000000	1081.242500000	7.94	1070.866487550	28.677100000	-61.36	13.744189945	0.016873370
1701353463.1258609	4.99200	-0.000000	1081.090000000	7.94	1070.715450998	28.677100000	-61.36	13.744189945	0.023218970
1701353464.3775070	4.99200	-0.000000	1081.242500000	7.94	1070.882130297	28.677100000	-61.36	13.744189945	0.014153840
1701353465.6122351	4.99700	-0.000000	1081.090000000	7.94	1070.715450998	28.677100000	-61.36	13.744189945	0.020417060
1701353466.8190000	4.99200	-0.000000	1081.242500000	7.94	1070.882130297	28.677100000	-61.36	13.744189945	0.015884440
1701353469.0779619	4.99200	-0.000000	1081.242500000	7.94	1070.866487550	28.677100000	-61.36	13.744189945	0.022889340
1701353472.0885570	4.98800	-0.000000	1081.090000000	7.94	1070.715450998	28.677100000	-61.36	13.744189945	0.023424990
1701353473.2933540	4.99700	-0.000000	1081.090000000	7.94	1070.715450998	28.677100000	-61.36	13.744189945	0.018562810
1701353475.0130889	4.99700	0.002876	1081.242500000	7.94	1070.866487550	28.677100000	-61.36	13.744189945	0.020540640
1701353476.2248650	4.99600	0.010066	1081.242500000	7.94	1070.866487550	28.677100000	-61.36	13.744189945	0.021158730
1701353477.9877930	4.99400	0.018694	1081.242500000	7.94	1070.882130297	28.677100000	-61.36	13.744189945	0.019469330
1701353479.1965661	4.99900	0.024446	1081.395000000	7.94	1071.033169055	28.610400000	-61.62	13.599013068	0.014730730
