----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
----------------------------------------------------------------------------------------------------------------------

1701342344.3330209	5.00100	0.000000	1392.070000000	3.41	1389.599502897	173.093000000	-89.77	0.706922041	0.012546850
1701342345.5776989	4.98900	0.000000	1392.070000000	3.42	1389.590814202	173.055000000	-89.77	0.706766847	0.013865360
1701342346.8193810	4.99700	0.000000	1392.070000000	3.41	1389.599502897	173.227000000	-89.77	0.707469305	0.012670450
1701342348.0275011	4.99600	0.000000	1391.917500000	3.41	1389.447273538	173.284000000	-89.77	0.707702096	0.008055431
1701342350.2891150	4.99300	0.000000	1391.917500000	3.42	1389.438585794	173.112000000	-89.80	0.616359070	0.007973053
1701342351.5022280	4.99000	0.000000	1391.917500000	3.42	1389.438585794	172.960000000	-89.76	0.724491035	0.012835270
1701342353.2093141	4.99600	0.000000	1391.917500000	3.42	1389.438585794	173.036000000	-89.76	0.724809382	0.015225150
1701342354.4180939	4.99300	0.000000	1391.917500000	3.42	1389.438585794	172.750000000	-89.74	0.795972042	0.007437391
1701342356.1315081	5.00200	0.000000	1392.070000000	3.42	1389.590814202	172.616000000	-89.70	0.903811133	0.014854330
1701342357.3825259	4.98500	0.000000	1392.070000000	3.42	1389.590814202	172.750000000	-89.73	0.814062183	0.013989010
1701342359.1125441	4.99500	0.000000	1391.917500000	3.42	1389.438585794	173.055000000	-89.77	0.706766847	0.004635445
1701342360.3236670	4.99200	0.000000	1392.222500000	3.41	1389.751732256	173.150000000	-89.77	0.707154833	0.008467428
1701342362.0307500	4.99500	0.000000	1391.917500000	3.42	1389.438585794	172.979000000	-89.77	0.706456458	0.014030220
1701342363.2827611	4.98900	0.000000	1392.070000000	3.42	1389.590814202	172.902000000	-89.76	0.724248086	0.013041300
1701342365.0137820	5.00400	0.000000	1392.070000000	3.42	1389.590814202	172.597000000	-89.75	0.741044662	0.005500735
1701342366.2135770	4.98900	0.000000	1392.222500000	3.42	1389.743042609	172.559000000	-89.72	0.849302374	0.011928780
1701342367.9353299	4.99400	0.000000	1392.070000000	3.42	1389.590814202	172.635000000	-89.71	0.885832564	0.010568980
1701342369.1889820	4.99800	0.000000	1391.917500000	3.42	1389.438585794	172.769000000	-89.71	0.886520151	0.010816190
1701342370.9093859	4.99500	0.000000	1392.222500000	3.42	1389.743042609	172.902000000	-89.72	0.850990554	0.008055473
1701342372.1151569	4.99000	0.002876	1391.917500000	3.42	1389.438585794	172.864000000	-89.72	0.832701464	0.008426312
1701342373.8870780	4.99600	0.012942	1392.070000000	3.42	1389.590814202	172.921000000	-89.75	0.760543828	0.007025325
1701342375.0898659	5.00200	0.018694	1392.375000000	3.42	1389.895271017	173.227000000	-89.77	0.707469305	0.011557910
1701342377.3202691	5.00200	0.030198	1392.527500000	3.41	1390.056190975	173.360000000	-89.82	0.544625607	0.012052390
1701342378.5260451	4.99700	0.035950	1392.680000000	3.42	1390.199727832	173.093000000	-89.83	0.525660633	0.005335961
