----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701278407.4552841	4.99700	0.037388	985.112500000	8.51	974.271549361	18.921000000	-55.19	10.800098382	0.024372710
1701278409.6577649	5.00300	0.048892	985.265000000	8.51	974.422371132	18.882800000	-55.36	10.732786097	0.018233140
1701278410.9070830	4.99800	0.056082	985.417500000	8.50	974.588454658	18.863800000	-55.45	10.697594135	0.019963750
1701278412.6388309	5.00000	0.063272	985.570000000	8.51	974.724014673	18.825600000	-55.61	10.633673864	0.025196810
1701278413.8512340	4.99900	0.070462	985.722500000	8.51	974.874836443	18.820800000	-55.64	10.621202201	0.015019130
1701278415.5566881	5.00200	0.079090	985.875000000	8.51	975.025658213	18.816100000	-55.84	10.566436795	0.020293400
1701278416.8097041	5.01300	0.084842	986.027500000	8.50	975.191751187	18.792200000	-55.98	10.513902491	0.021241110
1701278418.5440831	4.99300	0.093470	986.332500000	8.50	975.493399451	18.768400000	-56.16	10.451664320	0.024455120
1701278419.7525020	5.01000	0.099222	986.332500000	8.51	975.478123525	18.735000000	-56.29	10.397186555	0.016378910
1701278421.4539671	5.00000	0.107850	986.790000000	8.50	975.945871848	18.682600000	-56.59	10.288222265	0.016955780
1701278422.7259130	5.00100	0.115040	986.942500000	8.50	976.096695980	18.649200000	-56.74	10.229040629	0.020046180
1701278424.4533150	4.99700	0.123668	987.095000000	8.50	976.247520112	18.592000000	-56.99	10.127561733	0.021488360
1701278425.6561251	4.99800	0.129420	987.247500000	8.50	976.398344245	18.558600000	-57.16	10.063689918	0.019428120
1701278427.3585889	5.00200	0.138048	987.705000000	8.50	976.850816641	18.563300000	-57.40	10.002455476	0.018892420
1701278428.5680001	5.00600	0.143800	987.860000000	8.50	977.004113300	18.568100000	-57.43	9.996850333	0.021900410
1701278430.3286619	4.99000	0.152428	988.012500000	8.50	977.170228663	18.544300000	-57.55	9.949646517	0.020458230
1701278431.5484090	5.00100	0.158180	988.317500000	8.50	977.471881648	18.525200000	-57.66	9.909913526	0.016584940
1701278433.2608440	5.00100	0.166808	988.622500000	8.50	977.773534632	18.515700000	-57.92	9.834288588	0.016172870
